Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
544957;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;1;;;68303;575376.63;1157382.21;2013-12-05T00:00:00
544965;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;2;;;68303;575387.22;1157393.39;2013-12-05T00:00:00
544973;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;3;;;68303;575406.26;1157416.42;2013-12-05T00:00:00
544981;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;4;;;68303;575420.40;1157431.18;2013-12-05T00:00:00
544990;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;5;;;68303;575438.92;1157454.69;2013-12-05T00:00:00
545007;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;6;;;68303;575449.63;1157473.67;2013-12-05T00:00:00
545015;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;7;;;68303;575475.11;1157531.89;2013-12-05T00:00:00
545023;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;8;;;68303;575501.15;1157540.67;2013-12-05T00:00:00
545031;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;9;;;68303;575518.11;1157553.02;2013-12-05T00:00:00
545040;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;10;;;68303;575558.35;1157637.86;2013-12-05T00:00:00
545058;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;11;;;68303;575528.82;1157511.58;2013-12-05T00:00:00
545066;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;12;;;68303;575517.21;1157472.43;2013-12-05T00:00:00
545074;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;13;;;68303;575534.65;1157426.88;2013-12-05T00:00:00
545082;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;14;;;68303;575526.71;1157417.32;2013-12-05T00:00:00
545091;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;15;;;68303;575518.65;1157406.53;2013-12-05T00:00:00
545104;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;16;;;68303;575507.94;1157365.50;2013-12-05T00:00:00
545112;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;17;;;68303;575495.98;1157449.89;2013-12-05T00:00:00
545121;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;18;;;68303;575475.38;1157458.51;2013-12-05T00:00:00
545139;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;19;;;68303;575449.93;1157410.68;2013-12-05T00:00:00
545147;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;20;;;68303;575432.14;1157399.44;2013-12-05T00:00:00
545155;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;21;;;68303;575404.18;1157364.74;2013-12-05T00:00:00
545163;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;22;;;68303;575398.92;1157356.82;2013-12-05T00:00:00
545171;593397;Nemojany;;;;;103187;Nemojany;;;и.p.;23;;;68303;575369.20;1157319.52;2013-12-05T00:00:00
