Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
14708582;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;1;;;37853;694749.00;1153708.13;2013-12-04T00:00:00
14708591;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;2;;;37853;694795.06;1153673.63;2013-12-04T00:00:00
14708604;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;3;;;37853;694810.44;1153662.00;2013-12-04T00:00:00
14708612;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;4;;;37853;694889.25;1153687.75;2013-12-04T00:00:00
14708621;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;5;;;37853;694842.50;1153638.75;2013-12-04T00:00:00
14708639;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;6;;;37853;694839.56;1153604.25;2013-12-04T00:00:00
14708647;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;7;;;37853;694870.13;1153620.25;2013-12-04T00:00:00
14708655;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;8;;;37853;694881.88;1153574.25;2013-12-04T00:00:00
14708663;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;9;;;37853;694885.13;1153550.13;2013-12-04T00:00:00
14708671;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;10;;;37853;694875.06;1153519.63;2013-12-04T00:00:00
14708680;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;11;;;37853;694474.13;1153896.38;2013-12-04T00:00:00
14708698;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;12;;;37853;694911.88;1153450.25;2013-12-04T00:00:00
14708701;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;13;;;37853;694864.25;1153447.88;2013-12-04T00:00:00
14708710;562785;Horní Nìmèice;;;;;43605;Horní Nìmèice;;;è.p.;14;;;37853;694822.38;1153424.25;2013-12-04T00:00:00
