Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
19764995;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;1;;;39201;728240.75;1129841.88;2018-05-15T00:00:00
19765002;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;2;;;39201;728203.94;1129802.00;2018-05-15T00:00:00
19765011;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;3;;;39201;728094.31;1129825.00;2018-05-15T00:00:00
19765029;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;4;;;39201;728167.06;1129920.38;2018-05-15T00:00:00
19765037;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;5;;;39201;728143.69;1129926.00;2018-05-15T00:00:00
19765045;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;6;;;39201;728131.13;1129931.13;2018-05-15T00:00:00
19765053;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;7;;;39201;728072.84;1129956.99;2018-05-15T00:00:00
19765061;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;8;;;39201;728051.38;1129975.38;2018-05-15T00:00:00
19765070;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;9;;;39201;728070.38;1130048.88;2018-05-15T00:00:00
19765088;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;10;;;39201;728067.75;1130072.75;2018-05-15T00:00:00
19765096;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;11;;;39201;728140.25;1130020.88;2018-05-15T00:00:00
19765100;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;12;;;39201;728128.50;1130003.50;2018-05-15T00:00:00
19765118;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;13;;;39201;728131.56;1129948.88;2018-05-15T00:00:00
19765126;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;14;;;39201;728210.88;1129990.13;2018-05-15T00:00:00
19765134;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;15;;;39201;728209.56;1129948.00;2018-05-15T00:00:00
19765142;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;16;;;39201;728233.38;1129933.25;2018-05-15T00:00:00
19765151;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;17;;;39201;728255.06;1129924.25;2018-05-15T00:00:00
19765169;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;18;;;39201;728175.75;1129829.75;2018-05-15T00:00:00
19765177;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;19;;;39201;728104.94;1130117.25;2018-05-15T00:00:00
19765185;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;20;;;39201;728022.81;1130023.50;2018-05-15T00:00:00
19765193;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;21;;;39201;;;2011-07-01T00:00:00
19765207;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;22;;;39201;727970.88;1130014.25;2018-05-15T00:00:00
19765215;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;23;;;39201;728216.69;1129823.00;2018-05-15T00:00:00
19765223;553085;Skopytce;;;;;50555;Chabrovice;;;è.p.;24;;;39201;728181.31;1129816.63;2018-05-15T00:00:00
