Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
1540033;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;1;;;26724;771125.69;1064836.13;2013-11-29T00:00:00
1540041;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;2;;;26724;771195.40;1064893.10;2013-11-29T00:00:00
1540050;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;3;;;26724;771195.39;1064850.75;2013-11-29T00:00:00
1540068;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;4;;;26724;771231.09;1064814.47;2013-11-29T00:00:00
1540076;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;5;;;26724;771239.55;1064798.90;2013-11-29T00:00:00
1540084;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;6;;;26724;771338.19;1064787.13;2013-11-29T00:00:00
1540092;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;7;;;26724;770981.63;1063857.25;2013-11-29T00:00:00
1540106;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;8;;;26724;771344.44;1064756.38;2013-11-29T00:00:00
1540114;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;9;;;26724;771379.19;1064775.50;2013-11-29T00:00:00
1540122;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;10;;;26724;771370.56;1064707.88;2013-11-29T00:00:00
1540131;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;11;;;26724;771327.63;1064724.38;2013-11-29T00:00:00
1540149;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;12;;;26724;771265.56;1064698.13;2013-11-29T00:00:00
1540157;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;13;;;26724;771253.44;1064687.63;2013-11-29T00:00:00
1540165;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;14;;;26724;771242.50;1064680.13;2013-11-29T00:00:00
1540173;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;15;;;26724;771229.63;1064705.63;2013-11-29T00:00:00
1540181;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;16;;;26724;771211.63;1064722.75;2013-11-29T00:00:00
1540190;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;17;;;26724;771345.31;1064685.25;2013-11-29T00:00:00
1540203;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;18;;;26724;771086.44;1064846.13;2013-11-29T00:00:00
1540211;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;19;;;26724;771165.50;1064814.75;2013-11-29T00:00:00
1540220;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;20;;;26724;771164.00;1064771.63;2013-11-29T00:00:00
1540238;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;21;;;26724;771373.69;1064742.25;2013-11-29T00:00:00
1540246;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;22;;;26724;771232.44;1064837.24;2013-11-29T00:00:00
1540254;533939;Lážovice;;;;;79570;Lážovice;;;è.p.;23;;;26724;771267.00;1064871.25;2013-11-29T00:00:00
