Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
9918094;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;51;;;69111;579983.70;1188578.09;2013-12-06T00:00:00
9918108;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;52;;;69111;579988.36;1188569.58;2013-12-06T00:00:00
9918116;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;53;;;69111;579931.53;1188642.98;2013-12-06T00:00:00
9918124;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;54;;;69111;579706.23;1188814.65;2013-12-06T00:00:00
9918132;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;55;;;69111;579726.13;1188821.87;2013-12-06T00:00:00
9918159;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;57;;;69111;580043.85;1189207.04;2013-12-06T00:00:00
9918175;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;59;;;69111;580034.96;1188388.61;2013-12-06T00:00:00
9918183;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;60;;;69111;579934.05;1188596.34;2013-12-06T00:00:00
9918205;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;62;;;69111;579934.69;1188615.69;2013-12-06T00:00:00
9918213;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;63;;;69111;579932.82;1188629.99;2013-12-06T00:00:00
9918221;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;64;;;69111;579931.39;1188652.06;2013-12-06T00:00:00
9918230;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;65;;;69111;579930.32;1188684.42;2013-12-06T00:00:00
9918248;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;66;;;69111;579927.05;1188708.22;2013-12-06T00:00:00
