Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
18645101;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;1;;;67551;654665.38;1164239.38;2013-12-01T00:00:00
18645119;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;2;;;67551;654693.75;1164232.38;2013-12-01T00:00:00
18645127;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;3;;;67551;654719.63;1164224.88;2013-12-01T00:00:00
18645143;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;5;;;67551;654765.94;1164225.25;2013-12-01T00:00:00
18645151;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;6;;;67551;654760.81;1164211.88;2013-12-01T00:00:00
18645160;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;7;;;67551;654785.75;1164207.25;2013-12-01T00:00:00
18645178;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;8;;;67551;654772.63;1164201.38;2013-12-01T00:00:00
18645194;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;10;;;67551;654799.06;1164151.25;2013-12-01T00:00:00
18645208;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;11;;;67551;654837.75;1164149.63;2013-12-01T00:00:00
18645216;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;12;;;67551;654838.00;1164115.50;2013-12-01T00:00:00
18645224;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;13;;;67551;654864.94;1164105.08;2013-12-01T00:00:00
18645232;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;14;;;67551;654894.81;1164061.63;2013-12-01T00:00:00
18645241;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;15;;;67551;654882.69;1164022.88;2013-12-01T00:00:00
18645259;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;16;;;67551;654843.00;1164055.25;2013-12-01T00:00:00
18645267;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;17;;;67551;654776.75;1164115.75;2013-12-01T00:00:00
18645275;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;18;;;67551;654746.25;1164133.13;2013-12-01T00:00:00
18645283;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;19;;;67551;654745.25;1164152.00;2013-12-01T00:00:00
18645291;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;20;;;67551;654714.00;1164134.75;2013-12-01T00:00:00
18645305;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;21;;;67551;654550.81;1164236.75;2013-12-01T00:00:00
