KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
22848975;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;201;;;26203;749525.56;1076546.13;2013-12-02T00:00:00
22848983;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;202;;;26203;749543.19;1076538.00;2013-12-02T00:00:00
22848991;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;203;;;26203;749551.25;1076528.75;2013-12-02T00:00:00
22849009;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;204;;;26203;749568.19;1076514.63;2013-12-02T00:00:00
22849017;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;205;;;26203;749585.31;1076492.13;2013-12-02T00:00:00
22849025;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;206;;;26203;749569.00;1076478.00;2013-12-02T00:00:00
22849033;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;207;;;26203;749563.75;1076449.88;2013-12-02T00:00:00
22849041;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;208;;;26203;749539.81;1076453.50;2013-12-02T00:00:00
22849050;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;209;;;26203;749514.06;1076456.25;2013-12-02T00:00:00
22849068;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;210;;;26203;749516.75;1076476.00;2013-12-02T00:00:00
22849076;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;211;;;26203;749518.81;1076495.88;2013-12-02T00:00:00
22849084;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;212;;;26203;749519.00;1076515.00;2013-12-02T00:00:00
22849092;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;213;;;26203;749546.25;1076498.63;2013-12-02T00:00:00
22849106;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;214;;;26203;749545.38;1076477.93;2013-12-02T00:00:00
22849114;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;215;;;26203;750679.74;1076638.46;2013-12-02T00:00:00
