Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
3097081;530751;Tehov;;;;;103161;Nemíž;;;è.p.;1;;;25801;711473.88;1085869.38;2013-11-29T00:00:00
3097099;530751;Tehov;;;;;103161;Nemíž;;;è.p.;2;;;25801;711432.94;1085885.13;2013-11-29T00:00:00
3097102;530751;Tehov;;;;;103161;Nemíž;;;è.p.;5;;;25801;711368.06;1085828.50;2013-11-29T00:00:00
3097111;530751;Tehov;;;;;103161;Nemíž;;;è.p.;6;;;25801;711330.63;1085872.13;2013-11-29T00:00:00
3097129;530751;Tehov;;;;;103161;Nemíž;;;è.p.;8;;;25801;711382.19;1085915.25;2013-11-29T00:00:00
3097137;530751;Tehov;;;;;103161;Nemíž;;;è.p.;9;;;25801;711327.13;1086003.38;2013-11-29T00:00:00
3097145;530751;Tehov;;;;;103161;Nemíž;;;è.p.;11;;;25801;711447.00;1085931.50;2013-11-29T00:00:00
3097153;530751;Tehov;;;;;103161;Nemíž;;;è.p.;16;;;25801;711457.31;1085877.00;2013-11-29T00:00:00
3097161;530751;Tehov;;;;;103161;Nemíž;;;è.p.;19;;;25801;711430.50;1085946.13;2013-11-29T00:00:00
3097170;530751;Tehov;;;;;103161;Nemíž;;;è.p.;22;;;25801;711416.94;1085781.50;2013-11-29T00:00:00
3097188;530751;Tehov;;;;;103161;Nemíž;;;è.p.;23;;;25801;711414.75;1085738.88;2013-11-29T00:00:00
3097196;530751;Tehov;;;;;103161;Nemíž;;;è.p.;26;;;25801;711431.81;1085717.50;2013-11-29T00:00:00
3097200;530751;Tehov;;;;;103161;Nemíž;;;è.p.;30;;;25801;711454.06;1085795.63;2013-11-29T00:00:00
3097218;530751;Tehov;;;;;103161;Nemíž;;;è.p.;31;;;25801;711430.19;1085762.75;2013-11-29T00:00:00
3097226;530751;Tehov;;;;;103161;Nemíž;;;è.p.;34;;;25801;711225.75;1085859.00;2013-11-29T00:00:00
3099849;530751;Tehov;;;;;165298;Tehov;;;è.p.;1;;;25801;709196.00;1086996.38;2013-11-29T00:00:00
3099857;530751;Tehov;;;;;165298;Tehov;;;è.p.;2;;;25801;709057.44;1087022.13;2013-11-29T00:00:00
3099865;530751;Tehov;;;;;165298;Tehov;;;è.p.;3;;;25801;709019.31;1086965.25;2013-11-29T00:00:00
3099873;530751;Tehov;;;;;165298;Tehov;;;è.p.;4;;;25801;708995.25;1086983.00;2013-11-29T00:00:00
3099881;530751;Tehov;;;;;165298;Tehov;;;è.p.;5;;;25801;708992.25;1087012.75;2013-11-29T00:00:00
3099890;530751;Tehov;;;;;165298;Tehov;;;è.p.;6;;;25801;708989.25;1087029.50;2013-11-29T00:00:00
3099903;530751;Tehov;;;;;165298;Tehov;;;è.p.;7;;;25801;708979.94;1087058.63;2013-11-29T00:00:00
3099911;530751;Tehov;;;;;165298;Tehov;;;è.p.;8;;;25801;709035.69;1087064.25;2013-11-29T00:00:00
3099920;530751;Tehov;;;;;165298;Tehov;;;è.p.;9;;;25801;709108.50;1087183.38;2013-11-29T00:00:00
3099938;530751;Tehov;;;;;165298;Tehov;;;è.p.;10;;;25801;709073.81;1086847.88;2013-11-29T00:00:00
