Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
14758555;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;1;;;37821;728746.13;1143101.63;2013-12-04T00:00:00
14758563;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;2;;;37821;728779.31;1142997.63;2013-12-04T00:00:00
14758571;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;3;;;37821;728817.63;1142938.63;2013-12-04T00:00:00
14758580;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;4;;;37821;728834.44;1143009.88;2013-12-04T00:00:00
14758598;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;5;;;37821;728901.63;1142904.88;2013-12-04T00:00:00
14758601;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;6;;;37821;728960.69;1142902.88;2013-12-04T00:00:00
14758610;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;7;;;37821;728963.81;1142961.38;2013-12-04T00:00:00
14758628;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;8;;;37821;728908.31;1143026.13;2013-12-04T00:00:00
14758636;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;9;;;37821;728890.19;1143066.75;2013-12-04T00:00:00
14758644;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;10;;;37821;728861.84;1143089.92;2013-12-04T00:00:00
14758652;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;11;;;37821;728840.44;1143103.88;2013-12-04T00:00:00
14758661;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;12;;;37821;728816.63;1143115.25;2013-12-04T00:00:00
14758679;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;13;;;37821;728793.50;1143131.63;2013-12-04T00:00:00
14758687;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;14;;;37821;728906.13;1143171.00;2013-12-04T00:00:00
14758695;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;15;;;37821;728727.56;1143134.88;2013-12-04T00:00:00
14758709;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;16;;;37821;728413.44;1142821.00;2013-12-04T00:00:00
14758717;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;17;;;37821;728895.88;1142978.50;2013-12-04T00:00:00
14758725;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;18;;;37821;728733.38;1143144.63;2013-12-04T00:00:00
14758733;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;19;;;37821;728737.38;1143102.75;2013-12-04T00:00:00
14758741;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;20;;;37821;728995.94;1142892.00;2013-12-04T00:00:00
14758750;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;21;;;37821;728892.44;1142999.25;2013-12-04T00:00:00
14758768;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;22;;;37821;728982.94;1142975.88;2013-12-04T00:00:00
14758776;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;23;;;37821;729021.81;1142896.13;2013-12-04T00:00:00
14758784;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;24;;;37821;728823.42;1143061.22;2013-12-04T00:00:00
14758792;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;25;;;37821;728800.00;1143071.50;2013-12-04T00:00:00
14758806;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;26;;;37821;;;2011-07-01T00:00:00
14758814;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;27;;;37821;728811.25;1143549.63;2013-12-04T00:00:00
