Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
23052473;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;1;;;38801;798794.88;1115175.25;2013-12-05T00:00:00
23052481;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;2;;;38801;798762.81;1115174.13;2013-12-05T00:00:00
23052490;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;3;;;38801;798748.50;1115185.25;2013-12-05T00:00:00
23052503;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;4;;;38801;798742.88;1115169.50;2013-12-05T00:00:00
23052511;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;5;;;38801;798714.00;1115182.38;2013-12-05T00:00:00
23052520;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;6;;;38801;798706.50;1115114.88;2013-12-05T00:00:00
23052538;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;7;;;38801;798718.00;1115468.00;2013-12-05T00:00:00
23052546;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;8;;;38801;798705.75;1115078.00;2013-12-05T00:00:00
23052554;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;9;;;38801;798648.25;1115096.63;2013-12-05T00:00:00
23052562;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;10;;;38801;798681.25;1115117.75;2013-12-05T00:00:00
23052571;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;11;;;38801;798660.88;1115189.63;2013-12-05T00:00:00
23052589;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;12;;;38801;798636.81;1115178.25;2013-12-05T00:00:00
23052597;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;13;;;38801;798614.50;1115193.75;2013-12-05T00:00:00
23052601;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;14;;;38801;798584.88;1115218.25;2013-12-05T00:00:00
23052619;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;15;;;38801;798645.56;1115237.50;2013-12-05T00:00:00
23052627;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;16;;;38801;798634.88;1115263.88;2013-12-05T00:00:00
23052635;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;17;;;38801;798666.31;1115244.50;2013-12-05T00:00:00
23052643;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;18;;;38801;798487.50;1115097.88;2013-12-05T00:00:00
23052651;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;19;;;38801;798459.88;1115103.88;2013-12-05T00:00:00
23052660;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;20;;;38801;798769.38;1115487.25;2013-12-05T00:00:00
23052678;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;21;;;38801;798604.80;1115307.19;2017-10-27T00:00:00
23052686;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;22;;;38801;798654.56;1115315.88;2013-12-05T00:00:00
23052694;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;23;;;38801;798678.56;1115322.88;2013-12-05T00:00:00
23052708;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;24;;;38801;798684.13;1115350.38;2013-12-05T00:00:00
23052716;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;25;;;38801;798726.88;1115377.75;2013-12-05T00:00:00
23052724;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;26;;;38801;798732.25;1115354.25;2013-12-05T00:00:00
23052732;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;27;;;38801;798704.56;1115302.75;2013-12-05T00:00:00
23052741;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;28;;;38801;798728.81;1115282.13;2013-12-05T00:00:00
23052759;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;29;;;38801;798689.25;1115259.25;2013-12-05T00:00:00
23052767;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;30;;;38801;798704.56;1115247.38;2013-12-05T00:00:00
23052775;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;31;;;38801;798739.50;1115218.75;2013-12-05T00:00:00
23052783;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;32;;;38801;798756.00;1115238.00;2013-12-05T00:00:00
23052791;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;33;;;38801;798763.56;1115451.63;2013-12-05T00:00:00
23052805;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;34;;;38801;798768.13;1115268.50;2013-12-05T00:00:00
23052813;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;35;;;38801;798799.00;1115271.63;2013-12-05T00:00:00
23052821;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;36;;;38801;798803.38;1115246.00;2013-12-05T00:00:00
23052830;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;37;;;38801;798522.63;1115100.50;2013-12-05T00:00:00
23052848;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;38;;;38801;798850.44;1115278.00;2013-12-05T00:00:00
23052856;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;40;;;38801;798873.75;1115237.50;2013-12-05T00:00:00
23052864;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;41;;;38801;798912.56;1115223.63;2013-12-05T00:00:00
23052872;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;42;;;38801;798829.06;1115227.75;2013-12-05T00:00:00
23052881;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;43;;;38801;798849.00;1115226.00;2013-12-05T00:00:00
23052899;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;44;;;38801;798900.69;1115208.63;2013-12-05T00:00:00
23052902;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;45;;;38801;798891.94;1115192.75;2013-12-05T00:00:00
23052911;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;46;;;38801;798882.50;1115150.00;2013-12-05T00:00:00
23052929;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;47;;;38801;798857.50;1115149.88;2013-12-05T00:00:00
23052937;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;48;;;38801;798842.19;1115177.00;2013-12-05T00:00:00
23052945;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;49;;;38801;798826.44;1115192.00;2013-12-05T00:00:00
23052953;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;50;;;38801;798822.31;1115158.75;2013-12-05T00:00:00
23052961;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;51;;;38801;798808.94;1115206.88;2013-12-05T00:00:00
23052970;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;52;;;38801;798740.69;1115056.63;2013-12-05T00:00:00
23052988;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;53;;;38801;798701.63;1115352.00;2013-12-05T00:00:00
23052996;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;54;;;38801;798879.06;1115273.88;2013-12-05T00:00:00
23053003;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;55;;;38801;798702.13;1115424.88;2013-12-05T00:00:00
23053011;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;56;;;38801;798821.06;1115268.00;2013-12-05T00:00:00
23053020;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;57;;;38801;798795.13;1115081.38;2013-12-05T00:00:00
23053038;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;58;;;38801;798628.06;1115114.88;2013-12-05T00:00:00
23053046;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;59;;;38801;798712.56;1115361.75;2013-12-05T00:00:00
23053054;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;60;;;38801;798708.19;1115376.50;2013-12-05T00:00:00
23053062;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;61;;;38801;798470.75;1115134.50;2013-12-05T00:00:00
23053071;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;62;;;38801;799030.06;1115313.88;2013-12-05T00:00:00
23053089;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;63;;;38801;798708.69;1115410.00;2013-12-05T00:00:00
23053097;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;64;;;38801;798740.69;1115080.88;2013-12-05T00:00:00
23053101;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;65;;;38801;798952.88;1115288.38;2013-12-05T00:00:00
23053119;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;66;;;38801;798654.06;1115048.63;2013-12-05T00:00:00
23053127;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;67;;;38801;798718.38;1115013.88;2013-12-05T00:00:00
23053135;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;68;;;38801;798698.75;1115016.75;2013-12-05T00:00:00
23053143;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;69;;;38801;798678.06;1115016.50;2013-12-05T00:00:00
23053151;510068;Èeèelovice;;;;;18783;Èeèelovice;;;è.p.;70;;;38801;798895.63;1115283.38;2013-12-05T00:00:00
