Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
22950851;564389;Radìtice;;;;;137570;Palivo;;;è.p.;1;;;26231;774482.44;1088185.63;2013-12-01T00:00:00
22950869;564389;Radìtice;;;;;137570;Palivo;;;è.p.;2;;;26231;774412.31;1088178.25;2013-12-01T00:00:00
22950877;564389;Radìtice;;;;;137570;Palivo;;;è.p.;3;;;26231;774434.43;1088263.80;2013-12-01T00:00:00
22950885;564389;Radìtice;;;;;137570;Palivo;;;è.p.;5;;;26231;774462.31;1088275.63;2013-12-01T00:00:00
22950893;564389;Radìtice;;;;;137570;Palivo;;;è.p.;6;;;26231;774458.06;1088301.63;2013-12-01T00:00:00
22950907;564389;Radìtice;;;;;137570;Palivo;;;è.p.;7;;;26231;774494.31;1088280.50;2013-12-01T00:00:00
22950915;564389;Radìtice;;;;;137570;Palivo;;;è.p.;8;;;26231;774501.19;1088226.75;2013-12-01T00:00:00
22950923;564389;Radìtice;;;;;137570;Palivo;;;è.p.;9;;;26231;774465.19;1088245.38;2013-12-01T00:00:00
22950931;564389;Radìtice;;;;;137570;Palivo;;;è.p.;10;;;26231;774444.63;1088248.50;2013-12-01T00:00:00
22950940;564389;Radìtice;;;;;137570;Palivo;;;è.p.;103;;;26231;;;2011-07-01T00:00:00
22950958;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;1;;;26231;774304.57;1088939.37;2013-12-01T00:00:00
22950966;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;2;;;26231;774306.69;1088904.50;2013-12-01T00:00:00
22950974;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;3;;;26231;774312.25;1088886.00;2013-12-01T00:00:00
22950982;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;4;;;26231;774311.75;1088861.88;2013-12-01T00:00:00
22950991;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;5;;;26231;774292.75;1088869.75;2013-12-01T00:00:00
22951008;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;6;;;26231;774246.63;1088859.50;2013-12-01T00:00:00
22951016;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;7;;;26231;774223.50;1088854.38;2013-12-01T00:00:00
22951024;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;8;;;26231;774214.00;1088849.00;2013-12-01T00:00:00
22951032;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;9;;;26231;774169.56;1088822.13;2013-12-01T00:00:00
22951041;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;10;;;26231;774141.56;1088814.63;2013-12-01T00:00:00
22951059;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;11;;;26231;774137.38;1088843.88;2013-12-01T00:00:00
22951067;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;12;;;26231;774071.06;1088827.00;2013-12-01T00:00:00
22951075;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;13;;;26231;774078.13;1088863.13;2013-12-01T00:00:00
22951083;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;14;;;26231;773917.69;1088860.25;2013-12-01T00:00:00
22951091;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;15;;;26231;773891.63;1088902.63;2013-12-01T00:00:00
22951105;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;16;;;26231;;;2011-07-01T00:00:00
22951113;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;17;;;26231;773935.00;1088897.50;2013-12-01T00:00:00
22951121;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;18;;;26231;773954.56;1088903.88;2013-12-01T00:00:00
22951130;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;19;;;26231;774038.00;1088903.00;2013-12-01T00:00:00
22951148;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;20;;;26231;774043.06;1088912.88;2013-12-01T00:00:00
22951156;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;21;;;26231;774069.38;1088909.75;2013-12-01T00:00:00
22951164;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;22;;;26231;774095.25;1088939.25;2013-12-01T00:00:00
22951172;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;23;;;26231;774080.13;1088976.25;2013-12-01T00:00:00
22951181;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;24;;;26231;774127.44;1088947.50;2013-12-01T00:00:00
22951199;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;25;;;26231;774156.44;1088938.00;2013-12-01T00:00:00
22951202;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;26;;;26231;774219.06;1088927.25;2013-12-01T00:00:00
22951211;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;27;;;26231;774137.88;1088890.25;2013-12-01T00:00:00
22951229;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;28;;;26231;774117.63;1088893.63;2013-12-01T00:00:00
22951237;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;29;;;26231;774090.13;1088915.25;2013-12-01T00:00:00
22951245;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;30;;;26231;773916.00;1088903.88;2013-12-01T00:00:00
22951253;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;31;;;26231;774218.81;1088911.88;2013-12-01T00:00:00
22951261;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;32;;;26231;773931.31;1088870.38;2013-12-01T00:00:00
22951270;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;33;;;26231;774187.13;1088849.25;2013-12-01T00:00:00
22951288;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;34;;;26231;774116.69;1088906.25;2013-12-01T00:00:00
22951296;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;35;;;26231;;;2011-07-01T00:00:00
22951300;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;36;;;26231;773960.63;1088866.00;2013-12-01T00:00:00
22951318;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;37;;;26231;773880.88;1088865.13;2013-12-01T00:00:00
22951326;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;38;;;26231;773967.44;1088915.50;2013-12-01T00:00:00
22951334;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;39;;;26231;774328.06;1088873.13;2013-12-01T00:00:00
22951342;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;40;;;26231;774015.04;1088963.02;2013-12-01T00:00:00
22951351;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;41;;;26231;774182.58;1088927.85;2021-05-10T00:00:00
22951377;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;43;;;26231;774181.75;1088880.63;2013-12-01T00:00:00
22951385;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;44;;;26231;774271.75;1088920.63;2013-12-01T00:00:00
22951393;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;45;;;26231;773859.94;1088911.13;2013-12-01T00:00:00
22951407;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;46;;;26231;773844.31;1088891.63;2013-12-01T00:00:00
22951415;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;47;;;26231;774029.38;1089002.63;2013-12-01T00:00:00
22951423;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;48;;;26231;773840.69;1088918.75;2013-12-01T00:00:00
22951431;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;49;;;26231;773795.31;1088902.13;2013-12-01T00:00:00
22951440;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;50;;;26231;773820.19;1088922.63;2013-12-01T00:00:00
22951458;564389;Radìtice;;;;;137588;Radìtice;;;è.p.;51;;;26231;773755.06;1088908.00;2013-12-01T00:00:00
