Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
23625821;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;1;;;46344;686047.00;988699.00;2013-12-03T00:00:00
23625830;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;3;;;46344;686073.00;988633.00;2013-12-03T00:00:00
23625848;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;4;;;46344;686122.83;988617.82;2013-12-03T00:00:00
23625856;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;5;;;46344;686076.90;988605.31;2013-12-03T00:00:00
23625864;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;6;;;46344;686063.00;988559.00;2013-12-03T00:00:00
23625872;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;7;;;46344;686057.00;988490.00;2013-12-03T00:00:00
23625881;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;8;;;46344;686020.19;988550.38;2013-12-03T00:00:00
23625899;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;9;;;46344;686024.00;988636.00;2013-12-03T00:00:00
23625902;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;10;;;46344;685934.00;988406.00;2013-12-03T00:00:00
23625911;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;11;;;46344;685979.00;988548.00;2013-12-03T00:00:00
23625929;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;12;;;46344;686096.00;988936.00;2013-12-03T00:00:00
23625937;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;13;;;46344;686004.63;988521.44;2013-12-03T00:00:00
23625945;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;14;;;46344;686144.00;988346.00;2013-12-03T00:00:00
23625953;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;15;;;46344;686029.00;988469.00;2013-12-03T00:00:00
23625961;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;16;;;46344;686015.00;988437.00;2013-12-03T00:00:00
23625970;544604;Ћпбrek;;;;;161721;Ћпбrek;;;и.p.;17;;;46344;685970.00;988465.00;2013-12-03T00:00:00
