Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
9036199;566748;Slatina;;;;;54577;Slatina;;;è.p.;2;;;33141;802348.25;1046210.25;2013-12-05T00:00:00
9036211;566748;Slatina;;;;;54577;Slatina;;;è.p.;4;;;33141;800308.69;1046434.94;2013-12-05T00:00:00
9036229;566748;Slatina;;;;;54577;Slatina;;;è.p.;5;;;33141;800290.06;1046458.06;2013-12-05T00:00:00
9036245;566748;Slatina;;;;;54577;Slatina;;;è.p.;7;;;33141;800219.25;1046443.94;2013-12-05T00:00:00
9036253;566748;Slatina;;;;;54577;Slatina;;;è.p.;8;;;33141;800093.06;1046410.88;2013-12-05T00:00:00
9036261;566748;Slatina;;;;;54577;Slatina;;;è.p.;9;;;33141;800139.81;1046430.13;2013-12-05T00:00:00
9036270;566748;Slatina;;;;;54577;Slatina;;;è.p.;10;;;33141;800237.25;1046427.81;2013-12-05T00:00:00
9036288;566748;Slatina;;;;;54577;Slatina;;;è.p.;11;;;33141;800170.75;1046368.38;2013-12-05T00:00:00
9036296;566748;Slatina;;;;;54577;Slatina;;;è.p.;12;;;33141;800217.69;1046388.00;2013-12-05T00:00:00
9036300;566748;Slatina;;;;;54577;Slatina;;;è.p.;13;;;33141;800122.63;1046438.88;2013-12-05T00:00:00
9036318;566748;Slatina;;;;;54577;Slatina;;;è.p.;14;;;33141;800223.94;1046356.81;2013-12-05T00:00:00
9036326;566748;Slatina;;;;;54577;Slatina;;;è.p.;15;;;33141;800244.38;1046331.00;2013-12-05T00:00:00
9036334;566748;Slatina;;;;;54577;Slatina;;;è.p.;16;;;33141;800284.06;1046336.81;2013-12-05T00:00:00
9036342;566748;Slatina;;;;;54577;Slatina;;;è.p.;17;;;33141;800296.63;1046268.94;2013-12-05T00:00:00
9036351;566748;Slatina;;;;;54577;Slatina;;;è.p.;18;;;33141;800307.06;1046237.19;2013-12-05T00:00:00
9036369;566748;Slatina;;;;;54577;Slatina;;;è.p.;19;;;33141;800330.88;1046220.75;2013-12-05T00:00:00
9036377;566748;Slatina;;;;;54577;Slatina;;;è.p.;20;;;33141;800373.88;1046301.25;2013-12-05T00:00:00
9036385;566748;Slatina;;;;;54577;Slatina;;;è.p.;21;;;33141;800347.75;1046315.56;2013-12-05T00:00:00
9036393;566748;Slatina;;;;;54577;Slatina;;;è.p.;22;;;33141;800361.44;1046358.88;2013-12-05T00:00:00
9036407;566748;Slatina;;;;;54577;Slatina;;;è.p.;24;;;33141;800093.50;1046432.63;2013-12-05T00:00:00
9036415;566748;Slatina;;;;;54577;Slatina;;;è.p.;25;;;33141;800366.19;1046270.38;2013-12-05T00:00:00
9036423;566748;Slatina;;;;;54577;Slatina;;;è.p.;26;;;33141;800186.38;1046457.38;2013-12-05T00:00:00
9036431;566748;Slatina;;;;;54577;Slatina;;;è.p.;28;;;33141;800188.13;1046413.75;2013-12-05T00:00:00
9036440;566748;Slatina;;;;;54577;Slatina;;;è.p.;29;;;33141;800237.00;1046350.38;2013-12-05T00:00:00
9036458;566748;Slatina;;;;;54577;Slatina;;;è.p.;31;;;33141;800347.13;1046329.19;2013-12-05T00:00:00
9036466;566748;Slatina;;;;;54577;Slatina;;;è.p.;32;;;33141;800081.44;1046419.69;2013-12-05T00:00:00
9036474;566748;Slatina;;;;;54577;Slatina;;;è.p.;34;;;33141;800167.94;1046473.13;2013-12-05T00:00:00
9036482;566748;Slatina;;;;;54577;Slatina;;;è.p.;35;;;33141;800169.63;1046392.69;2013-12-05T00:00:00
9036491;566748;Slatina;;;;;54577;Slatina;;;è.p.;36;;;33141;800302.00;1046299.50;2013-12-05T00:00:00
9036504;566748;Slatina;;;;;54577;Slatina;;;è.p.;37;;;33141;800118.06;1046415.63;2013-12-05T00:00:00
9036512;566748;Slatina;;;;;54577;Slatina;;;è.p.;38;;;33141;800320.81;1046362.50;2013-12-05T00:00:00
9036521;566748;Slatina;;;;;54577;Slatina;;;è.p.;39;;;33141;800267.19;1046403.06;2013-12-05T00:00:00
9036539;566748;Slatina;;;;;54577;Slatina;;;è.p.;40;;;33141;800243.38;1046424.19;2013-12-05T00:00:00
9036547;566748;Slatina;;;;;54577;Slatina;;;è.p.;41;;;33141;800339.19;1046273.81;2013-12-05T00:00:00
9036555;566748;Slatina;;;;;54577;Slatina;;;è.p.;42;;;33141;801759.69;1046314.75;2013-12-05T00:00:00
9036563;566748;Slatina;;;;;54577;Slatina;;;è.p.;43;;;33141;800098.81;1046479.50;2013-12-05T00:00:00
9036571;566748;Slatina;;;;;54577;Slatina;;;è.p.;45;;;33141;800320.50;1046389.81;2015-09-03T00:00:00
27659135;566748;Slatina;;;;;54577;Slatina;;;è.p.;44;;;33141;800068.53;1046487.10;2013-12-05T00:00:00
