Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
2229382;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.ev.;1;;;37802;721114.58;1162318.77;2013-12-03T00:00:00
2229391;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;2;;;37802;721264.25;1162091.25;2013-12-03T00:00:00
2229404;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;3;;;37802;721239.31;1162133.75;2013-12-03T00:00:00
2229412;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;4;;;37802;721193.81;1162116.38;2013-12-03T00:00:00
2229421;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;5;;;37802;721192.81;1162063.63;2013-12-03T00:00:00
2229439;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;6;;;37802;721163.44;1162047.63;2013-12-03T00:00:00
2229447;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;7;;;37802;721145.06;1162095.00;2013-12-03T00:00:00
2229455;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;8;;;37802;721123.19;1162035.13;2013-12-03T00:00:00
2229463;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;9;;;37802;721130.19;1162071.38;2013-12-03T00:00:00
2229471;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;10;;;37802;721079.44;1162067.38;2013-12-03T00:00:00
2229480;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;11;;;37802;721063.56;1162040.88;2013-12-03T00:00:00
2229498;561088;Pøíbraz;;;;;135666;Pøíbraz;;;è.p.;12;;;37802;721045.44;1161944.13;2013-12-03T00:00:00
