KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
13771361;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;1;;;58856;685599.93;1147881.70;2013-12-03T00:00:00
13771370;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;2;;;58856;685680.16;1147789.53;2013-12-03T00:00:00
13771396;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;4;;;58856;685750.57;1147722.41;2013-12-03T00:00:00
13771400;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;5;;;58856;685745.27;1147683.60;2013-12-03T00:00:00
13771418;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;6;;;58856;686026.08;1147633.15;2013-12-03T00:00:00
13771426;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;7;;;58856;685837.51;1147659.76;2013-12-03T00:00:00
13771434;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;8;;;58856;685873.61;1147649.49;2013-12-03T00:00:00
13771442;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;9;;;58856;685911.94;1147612.08;2013-12-03T00:00:00
13771451;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;11;;;58856;685989.01;1147561.15;2013-12-03T00:00:00
13771469;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;12;;;58856;686035.00;1147491.78;2013-12-03T00:00:00
13771477;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;13;;;58856;686169.01;1147433.08;2013-12-03T00:00:00
13771485;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;15;;;58856;686131.33;1147527.64;2013-12-03T00:00:00
13771493;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;16;;;58856;686144.72;1147535.40;2013-12-03T00:00:00
13771507;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;17;;;58856;686311.42;1147566.09;2018-03-01T00:00:00
13771515;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;18;;;58856;686081.72;1147551.04;2013-12-03T00:00:00
13771523;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;20;;;58856;686054.18;1147647.39;2013-12-03T00:00:00
13771531;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;21;;;58856;686011.75;1147718.68;2013-12-03T00:00:00
13771540;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;23;;;58856;685996.75;1147765.28;2013-12-03T00:00:00
13771558;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;24;;;58856;685946.24;1147770.37;2013-12-03T00:00:00
13771566;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;25;;;58856;685842.81;1147752.95;2013-12-03T00:00:00
13771574;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;26;;;58856;685833.31;1147784.15;2013-12-03T00:00:00
13771582;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;27;;;58856;685757.14;1147849.13;2013-12-03T00:00:00
13771591;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;28;;;58856;685691.47;1147812.41;2013-12-03T00:00:00
13771604;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;29;;;58856;685785.54;1147760.78;2013-12-03T00:00:00
13771612;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;30;;;58856;685809.95;1147767.62;2013-12-03T00:00:00
13771621;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;31;;;58856;685832.25;1147721.91;2013-12-03T00:00:00
13771639;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;33;;;58856;686101.62;1147570.57;2013-12-03T00:00:00
13771647;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;34;;;58856;685995.03;1147612.39;2013-12-03T00:00:00
13771663;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;36;;;58856;686542.39;1147894.10;2013-12-03T00:00:00
13771680;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;38;;;58856;686028.02;1147522.66;2013-12-03T00:00:00
13771698;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;39;;;58856;685911.08;1147621.75;2013-12-03T00:00:00
13771701;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;40;;;58856;685894.71;1147630.36;2013-12-03T00:00:00
13771710;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;41;;;58856;686022.42;1147620.76;2013-12-03T00:00:00
13771728;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;42;;;58856;685936.40;1147656.61;2013-12-03T00:00:00
13771736;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;44;;;58856;686061.37;1147851.18;2013-12-03T00:00:00
13771744;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;45;;;58856;685978.78;1147769.56;2013-12-03T00:00:00
13771752;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;46;;;58856;685926.67;1147673.22;2013-12-03T00:00:00
13771761;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;47;;;58856;685929.43;1147663.63;2013-12-03T00:00:00
13771779;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;48;;;58856;686055.48;1147565.16;2013-12-03T00:00:00
13771787;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;49;;;58856;686893.68;1146114.08;2013-12-03T00:00:00
13771795;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;50;;;58856;685922.77;1147713.58;2013-12-03T00:00:00
13771809;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;51;;;58856;685554.52;1147891.56;2013-12-03T00:00:00
13771817;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;52;;;58856;685963.55;1147625.44;2013-12-03T00:00:00
13771825;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;53;;;58856;685560.81;1147857.73;2013-12-03T00:00:00
13771833;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;54;;;58856;686074.34;1147514.47;2013-12-03T00:00:00
13771841;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;55;;;58856;685903.94;1147700.31;2013-12-03T00:00:00
13771850;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;56;;;58856;685944.57;1147733.66;2013-12-03T00:00:00
13771868;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;57;;;58856;685918.46;1147737.03;2013-12-03T00:00:00
13771876;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;58;;;58856;686079.79;1147589.11;2013-12-03T00:00:00
13771884;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;59;;;58856;686092.45;1147613.87;2013-12-03T00:00:00
13771892;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;60;;;58856;685966.22;1147733.53;2013-12-03T00:00:00
13771906;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;61;;;58856;685914.95;1147684.93;2013-12-03T00:00:00
13771914;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;62;;;58856;685799.04;1147734.63;2013-12-03T00:00:00
13771922;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;63;;;58856;685594.98;1147946.94;2013-12-03T00:00:00
13771931;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;64;;;58856;685286.33;1145508.83;2013-12-03T00:00:00
13771949;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;65;;;58856;685966.94;1147823.32;2013-12-03T00:00:00
13771957;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;66;;;58856;685966.90;1147706.68;2013-12-03T00:00:00
13771965;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;67;;;58856;685603.54;1147826.26;2013-12-03T00:00:00
13771973;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;68;;;58856;685584.97;1147819.98;2013-12-03T00:00:00
13771981;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;69;;;58856;686078.90;1147434.43;2013-12-03T00:00:00
13771990;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;70;;;58856;686080.36;1147600.32;2013-12-03T00:00:00
13772007;587834;ÿ·sn·;;;;;144762;ÿ·sn·;;;Ë.p.;71;;;58856;685642.78;1147916.54;2021-07-15T00:00:00
