Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
2998629;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;2;;;25726;718269.50;1081103.88;2013-12-01T00:00:00
2998637;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;3;;;25726;718223.00;1081211.00;2013-12-01T00:00:00
2998645;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;4;;;25726;718262.06;1081206.88;2013-12-01T00:00:00
2998653;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;6;;;25726;718260.44;1081263.25;2013-12-01T00:00:00
2998661;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;7;;;25726;718286.94;1081253.13;2013-12-01T00:00:00
2998688;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;12;;;25726;718497.25;1081246.50;2013-12-01T00:00:00
2998696;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;13;;;25726;718461.88;1081285.38;2013-12-01T00:00:00
2998700;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;14;;;25726;718487.38;1081299.75;2013-12-01T00:00:00
2998718;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;15;;;25726;718474.44;1081343.75;2013-12-01T00:00:00
2998726;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;19;;;25726;718323.88;1081435.50;2013-12-01T00:00:00
2998734;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;24;;;25726;718248.19;1081304.38;2013-12-01T00:00:00
2998742;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;25;;;25726;718253.81;1081186.50;2013-12-01T00:00:00
2998751;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;27;;;25726;718539.75;1081177.00;2013-12-01T00:00:00
2998769;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;28;;;25726;718531.38;1081242.25;2013-12-01T00:00:00
2998777;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;29;;;25726;718531.06;1081225.50;2013-12-01T00:00:00
2998785;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;30;;;25726;718214.75;1081130.38;2013-12-01T00:00:00
2998793;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;32;;;25726;718521.38;1081278.50;2013-12-01T00:00:00
2998807;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;35;;;25726;718228.69;1081239.13;2013-12-01T00:00:00
2998815;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;36;;;25726;718428.13;1081429.88;2013-12-01T00:00:00
2998823;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;37;;;25726;718229.00;1081419.50;2013-12-01T00:00:00
2998831;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;38;;;25726;718273.69;1081237.75;2013-12-01T00:00:00
2998840;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;40;;;25726;718399.56;1081443.88;2013-12-01T00:00:00
2998858;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;41;;;25726;718237.06;1081382.88;2013-12-01T00:00:00
2998866;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;42;;;25726;718407.25;1081041.75;2013-12-01T00:00:00
2998874;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;44;;;25726;718278.56;1080995.75;2013-12-01T00:00:00
2998882;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;45;;;25726;718536.63;1081607.75;2013-12-01T00:00:00
2998891;532304;Tøebešice;;;;;169650;Tøebešice;;;è.ev.;7;;;25726;718308.19;1081233.25;2013-12-01T00:00:00
14413795;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;1;;;25726;718389.13;1081107.25;2013-12-01T00:00:00
14413809;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;10;;;25726;718338.88;1081268.13;2013-12-01T00:00:00
14413817;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;11;;;25726;718495.50;1081149.13;2013-12-01T00:00:00
14413825;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;17;;;25726;718408.63;1081386.38;2013-12-01T00:00:00
14413833;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;23;;;25726;718208.44;1081496.13;2013-12-01T00:00:00
14413841;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;31;;;25726;718419.00;1081370.13;2013-12-01T00:00:00
14413850;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;33;;;25726;718450.13;1081362.63;2013-12-01T00:00:00
14413868;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;39;;;25726;718246.13;1081346.88;2013-12-01T00:00:00
14413876;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;43;;;25726;718444.56;1081156.13;2013-12-01T00:00:00
14413892;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;52;;;25726;718314.19;1081122.13;2013-12-01T00:00:00
14413906;532304;Tøebešice;;;;;169650;Tøebešice;;;è.ev.;3;;;25726;718301.56;1081194.13;2013-12-01T00:00:00
14413914;532304;Tøebešice;;;;;169650;Tøebešice;;;è.ev.;4;;;25726;718145.00;1081243.13;2013-12-01T00:00:00
14413922;532304;Tøebešice;;;;;169650;Tøebešice;;;è.ev.;5;;;25726;718454.00;1081397.88;2013-12-01T00:00:00
14413931;532304;Tøebešice;;;;;169650;Tøebešice;;;è.ev.;6;;;25726;718283.44;1081449.50;2013-12-01T00:00:00
14413949;532304;Tøebešice;;;;;169650;Tøebešice;;;è.ev.;8;;;25726;;;2011-07-01T00:00:00
14413965;532304;Tøebešice;;;;;169650;Tøebešice;;;è.ev.;10;;;25726;718408.13;1081424.25;2013-12-01T00:00:00
14413981;532304;Tøebešice;;;;;169650;Tøebešice;;;è.ev.;12;;;25726;718204.63;1081313.75;2013-12-01T00:00:00
14413990;532304;Tøebešice;;;;;169650;Tøebešice;;;è.ev.;14;;;25726;718248.56;1081241.25;2013-12-01T00:00:00
14414007;532304;Tøebešice;;;;;169650;Tøebešice;;;è.ev.;21;;;25726;;;2011-07-01T00:00:00
25370073;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;46;;;25726;718278.81;1081352.13;2013-12-01T00:00:00
25370081;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;47;;;25726;718197.88;1081351.38;2013-12-01T00:00:00
25370090;532304;Tøebešice;;;;;169650;Tøebešice;;;è.p.;48;;;25726;718173.44;1081353.50;2013-12-01T00:00:00
