Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
1833138;577910;Budislav;;;;;15440;Budislav;;;и.p.;2;;;56965;622219.69;1089920.40;2013-11-29T00:00:00
1833146;577910;Budislav;;;;;15440;Budislav;;;и.p.;3;;;56965;622169.31;1089923.14;2013-11-29T00:00:00
1833154;577910;Budislav;;;;;15440;Budislav;;;и.p.;4;;;56965;622141.00;1089946.37;2013-11-29T00:00:00
1833162;577910;Budislav;;;;;15440;Budislav;;;и.p.;5;;;56965;622100.50;1090013.90;2013-11-29T00:00:00
1833171;577910;Budislav;;;;;15440;Budislav;;;и.p.;7;;;56965;622004.56;1090136.63;2013-11-29T00:00:00
1833189;577910;Budislav;;;;;15440;Budislav;;;и.p.;8;;;56965;621979.56;1090164.42;2013-11-29T00:00:00
1833197;577910;Budislav;;;;;15440;Budislav;;;и.p.;9;;;56965;622052.25;1090261.30;2013-11-29T00:00:00
1833201;577910;Budislav;;;;;15440;Budislav;;;и.p.;10;;;56965;621943.55;1090210.30;2016-03-23T00:00:00
1833219;577910;Budislav;;;;;15440;Budislav;;;и.p.;11;;;56965;621885.75;1090233.13;2013-11-29T00:00:00
1833227;577910;Budislav;;;;;15440;Budislav;;;и.p.;12;;;56965;621831.19;1090271.67;2013-11-29T00:00:00
1833235;577910;Budislav;;;;;15440;Budislav;;;и.p.;13;;;56965;621788.81;1090295.28;2013-11-29T00:00:00
1833251;577910;Budislav;;;;;15440;Budislav;;;и.p.;15;;;56965;621739.13;1090342.90;2013-11-29T00:00:00
1833260;577910;Budislav;;;;;15440;Budislav;;;и.p.;16;;;56965;621786.38;1090342.46;2013-11-29T00:00:00
1833278;577910;Budislav;;;;;15440;Budislav;;;и.p.;17;;;56965;621854.13;1090330.18;2013-11-29T00:00:00
1833286;577910;Budislav;;;;;15440;Budislav;;;и.p.;18;;;56965;621709.75;1090679.70;2013-11-29T00:00:00
1833294;577910;Budislav;;;;;15440;Budislav;;;и.p.;19;;;56965;621909.31;1090293.16;2013-11-29T00:00:00
1833308;577910;Budislav;;;;;15440;Budislav;;;и.p.;20;;;56965;621941.13;1090287.21;2013-11-29T00:00:00
1833316;577910;Budislav;;;;;15440;Budislav;;;и.p.;21;;;56965;621885.75;1090346.32;2013-11-29T00:00:00
1833324;577910;Budislav;;;;;15440;Budislav;;;и.p.;22;;;56965;621899.69;1090384.91;2013-11-29T00:00:00
1833332;577910;Budislav;;;;;15440;Budislav;;;и.p.;23;;;56965;621238.19;1090856.19;2013-11-29T00:00:00
1833341;577910;Budislav;;;;;15440;Budislav;;;и.p.;24;;;56965;621141.44;1090944.80;2013-11-29T00:00:00
1833359;577910;Budislav;;;;;15440;Budislav;;;и.p.;25;;;56965;622175.31;1090310.83;2013-11-29T00:00:00
1833367;577910;Budislav;;;;;15440;Budislav;;;и.p.;26;;;56965;621909.38;1090496.22;2013-11-29T00:00:00
1833375;577910;Budislav;;;;;15440;Budislav;;;и.p.;27;;;56965;621296.69;1090775.74;2013-11-29T00:00:00
1833383;577910;Budislav;;;;;15440;Budislav;;;и.p.;28;;;56965;621840.94;1090241.89;2013-11-29T00:00:00
1833391;577910;Budislav;;;;;15440;Budislav;;;и.p.;29;;;56965;621957.50;1090379.93;2013-11-29T00:00:00
1833405;577910;Budislav;;;;;15440;Budislav;;;и.p.;30;;;56965;621958.06;1090333.80;2013-11-29T00:00:00
1833413;577910;Budislav;;;;;15440;Budislav;;;и.p.;31;;;56965;622062.69;1090191.71;2013-11-29T00:00:00
1833421;577910;Budislav;;;;;15440;Budislav;;;и.p.;32;;;56965;621990.68;1090265.17;2013-11-29T00:00:00
1833430;577910;Budislav;;;;;15440;Budislav;;;и.p.;33;;;56965;621977.75;1090290.03;2013-11-29T00:00:00
1833448;577910;Budislav;;;;;15440;Budislav;;;и.p.;34;;;56965;621988.44;1090235.19;2018-12-20T00:00:00
1833456;577910;Budislav;;;;;15440;Budislav;;;и.p.;35;;;56965;621976.63;1090268.05;2013-11-29T00:00:00
1833464;577910;Budislav;;;;;15440;Budislav;;;и.p.;36;;;56965;622075.94;1090208.51;2013-11-29T00:00:00
1833472;577910;Budislav;;;;;15440;Budislav;;;и.p.;37;;;56965;622086.44;1090163.21;2013-11-29T00:00:00
1833481;577910;Budislav;;;;;15440;Budislav;;;и.p.;38;;;56965;622194.94;1090069.61;2013-11-29T00:00:00
