Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
20487592;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;1;;;73911;464815.70;1130393.35;2013-12-01T00:00:00
20487606;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;2;;;73911;464786.59;1130375.78;2013-12-01T00:00:00
20487622;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;4;;;73911;464914.44;1130435.57;2013-12-01T00:00:00
20487631;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;5;;;73911;464985.45;1130519.23;2014-02-06T00:00:00
20487649;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;6;;;73911;465249.80;1130552.76;2013-12-01T00:00:00
20487657;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;7;;;73911;465165.54;1130905.69;2013-12-01T00:00:00
20487665;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;8;;;73911;464865.31;1130683.45;2013-12-01T00:00:00
20487673;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;9;;;73911;464652.15;1130770.25;2013-12-01T00:00:00
20487681;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;10;;;73911;464395.09;1131211.85;2013-12-01T00:00:00
20487690;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;11;;;73911;464031.30;1131326.00;2013-12-01T00:00:00
20487703;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;12;;;73911;463661.00;1131557.92;2013-12-01T00:00:00
20487720;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;14;;;73911;464124.62;1130603.26;2013-12-01T00:00:00
20487738;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;15;;;73911;463882.35;1130707.83;2013-12-01T00:00:00
20487746;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;16;;;73911;463613.22;1130766.58;2013-12-01T00:00:00
20487754;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;17;;;73911;463799.66;1130672.09;2013-12-01T00:00:00
20487762;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;18;;;73911;463859.37;1130592.35;2013-12-01T00:00:00
20487771;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;19;;;73911;464881.18;1130559.12;2013-12-01T00:00:00
20487789;552593;Malenovice;;;;;90786;Malenovice;;;и.p.;20;;;73911;463950.74;1130535.95;2013-12-01T00:00:00
