Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
7609639;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;2;;;53316;662177.42;1053499.30;2013-12-03T00:00:00
7609647;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;3;;;53316;662265.78;1053400.08;2013-12-03T00:00:00
7609655;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;4;;;53316;662251.46;1052949.14;2013-12-03T00:00:00
7609663;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;5;;;53316;662267.00;1053287.32;2013-12-03T00:00:00
7609671;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;6;;;53316;662158.89;1053216.23;2013-12-03T00:00:00
7609680;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;7;;;53316;662123.99;1053281.72;2013-12-03T00:00:00
7609698;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;8;;;53316;662194.00;1053274.24;2013-12-03T00:00:00
7609701;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;9;;;53316;662191.50;1053253.00;2013-12-03T00:00:00
7609710;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;10;;;53316;662183.90;1053203.29;2013-12-03T00:00:00
7609728;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;11;;;53316;662339.15;1053231.46;2013-12-03T00:00:00
7609736;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;12;;;53316;662312.50;1053196.76;2013-12-03T00:00:00
7609744;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;13;;;53316;662314.31;1053140.98;2013-12-03T00:00:00
7609752;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;14;;;53316;662287.11;1053144.06;2013-12-03T00:00:00
7609779;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;16;;;53316;662238.38;1052993.46;2013-12-03T00:00:00
7609787;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;17;;;53316;662230.67;1052944.32;2013-12-03T00:00:00
7609795;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;18;;;53316;662237.88;1052909.15;2013-12-03T00:00:00
7609809;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;19;;;53316;662226.45;1052878.99;2013-12-03T00:00:00
7609817;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;20;;;53316;662225.01;1052849.66;2013-12-03T00:00:00
7609825;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;21;;;53316;662213.51;1052751.91;2013-12-03T00:00:00
7609833;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;22;;;53316;662204.03;1052689.81;2013-12-03T00:00:00
7609841;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;23;;;53316;662162.34;1052632.03;2013-12-03T00:00:00
7609850;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;24;;;53316;662192.24;1052596.38;2013-12-03T00:00:00
7609868;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;25;;;53316;662229.75;1052518.75;2013-12-03T00:00:00
7609876;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;26;;;53316;662208.91;1052462.40;2013-12-03T00:00:00
7609884;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;27;;;53316;662295.16;1052488.85;2013-12-03T00:00:00
7609892;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;28;;;53316;662288.63;1052459.33;2013-12-03T00:00:00
7609906;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;29;;;53316;662284.24;1052439.11;2013-12-03T00:00:00
7609914;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;30;;;53316;662329.95;1052433.36;2013-12-03T00:00:00
7609922;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;31;;;53316;662285.68;1052417.26;2013-12-03T00:00:00
7609931;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;32;;;53316;662288.78;1052403.62;2013-12-03T00:00:00
7609949;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;33;;;53316;662325.75;1052393.92;2013-12-03T00:00:00
7609957;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;34;;;53316;662324.56;1052373.65;2013-12-03T00:00:00
7609965;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;35;;;53316;662277.30;1052357.61;2013-12-03T00:00:00
7609973;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;36;;;53316;662282.25;1052340.21;2013-12-03T00:00:00
7609981;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;37;;;53316;662273.56;1052307.07;2013-12-03T00:00:00
7609990;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;38;;;53316;662188.19;1052192.12;2019-12-13T00:00:00
7610009;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;39;;;53316;662121.56;1052226.38;2013-12-03T00:00:00
7610017;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;40;;;53316;662033.44;1052207.84;2013-12-03T00:00:00
7610025;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;41;;;53316;662067.70;1052316.06;2013-12-03T00:00:00
7610033;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;42;;;53316;662112.42;1052388.69;2013-12-03T00:00:00
7610041;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;43;;;53316;662113.50;1052440.27;2013-12-03T00:00:00
7610050;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;44;;;53316;662121.44;1052496.48;2013-12-03T00:00:00
7610068;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;45;;;53316;662104.19;1052544.66;2013-12-03T00:00:00
7610076;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;46;;;53316;662105.14;1052589.45;2013-12-03T00:00:00
7610084;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;47;;;53316;662072.79;1052644.25;2013-12-03T00:00:00
7610092;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;48;;;53316;662079.81;1052455.31;2013-12-03T00:00:00
7610106;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;50;;;53316;662240.58;1052296.28;2013-12-03T00:00:00
7610114;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;51;;;53316;662230.19;1052440.55;2013-12-03T00:00:00
7610122;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;52;;;53316;662244.19;1052446.95;2013-12-03T00:00:00
7610131;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;53;;;53316;662267.28;1053188.34;2013-12-03T00:00:00
7610149;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;54;;;53316;662125.31;1053320.11;2013-12-03T00:00:00
7610157;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;55;;;53316;662205.18;1052585.16;2013-12-03T00:00:00
7610165;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;56;;;53316;662153.14;1053114.16;2013-12-03T00:00:00
7610173;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;57;;;53316;662076.94;1052600.03;2013-12-03T00:00:00
7610181;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;58;;;53316;662079.50;1052291.91;2013-12-03T00:00:00
7610190;575666;Sopøeè;;;;;152455;Sopøeè;;;è.p.;59;;;53316;662302.93;1052522.78;2013-12-03T00:00:00
