Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
315273;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;32;;;39842;757931.94;1119371.25;2013-12-04T00:00:00
315281;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;33;;;39842;759030.81;1118935.77;2021-06-04T00:00:00
315290;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;34;;;39842;758991.38;1118904.88;2013-12-04T00:00:00
315303;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;35;;;39842;758010.00;1119462.63;2013-12-04T00:00:00
315311;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;36;;;39842;758021.19;1119462.63;2013-12-04T00:00:00
315320;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;37;;;39842;757969.44;1119465.13;2013-12-04T00:00:00
315338;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;38;;;39842;758056.25;1119455.50;2013-12-04T00:00:00
315346;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;39;;;39842;757828.25;1119089.50;2013-12-04T00:00:00
315354;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;40;;;39842;757943.88;1119335.13;2013-12-04T00:00:00
315362;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;41;;;39842;757965.25;1119307.75;2013-12-04T00:00:00
315371;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;43;;;39842;758215.81;1119353.63;2013-12-04T00:00:00
315389;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;45;;;39842;757893.69;1119297.38;2013-12-04T00:00:00
315397;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;46;;;39842;757860.63;1119137.50;2013-12-04T00:00:00
315401;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;47;;;39842;757987.63;1119387.00;2013-12-04T00:00:00
315419;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;48;;;39842;757796.63;1119061.13;2013-12-04T00:00:00
315427;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;49;;;39842;757862.50;1119087.13;2013-12-04T00:00:00
315435;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;50;;;39842;757857.00;1119079.50;2013-12-04T00:00:00
315443;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;51;;;39842;758052.38;1119501.38;2021-06-04T00:00:00
315451;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;52;;;39842;757925.75;1119202.00;2013-12-04T00:00:00
315460;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;53;;;39842;757896.50;1119260.25;2013-12-04T00:00:00
315478;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;54;;;39842;757897.69;1119268.50;2013-12-04T00:00:00
315486;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;55;;;39842;757780.69;1119020.00;2021-04-19T00:00:00
315494;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;56;;;39842;757850.13;1119128.88;2013-12-04T00:00:00
315516;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;58;;;39842;757912.19;1119213.38;2013-12-04T00:00:00
315524;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;60;;;39842;757927.94;1119297.63;2021-06-04T00:00:00
315532;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;62;;;39842;757895.81;1119281.63;2013-12-04T00:00:00
315541;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;63;;;39842;757904.81;1119225.50;2013-12-04T00:00:00
315559;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;64;;;39842;757845.88;1119076.63;2013-12-04T00:00:00
315567;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;65;;;39842;757881.75;1119122.00;2013-12-04T00:00:00
315575;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;66;;;39842;757843.69;1119122.50;2013-12-04T00:00:00
315583;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;67;;;39842;757873.19;1119149.75;2021-04-19T00:00:00
315591;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;68;;;39842;757881.06;1119157.50;2013-12-04T00:00:00
315605;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;69;;;39842;757888.69;1119167.25;2013-12-04T00:00:00
315613;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;70;;;39842;758001.69;1119451.38;2013-12-04T00:00:00
315621;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;71;;;39842;758126.44;1119426.75;2013-12-04T00:00:00
315630;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;72;;;39842;758102.06;1119431.75;2013-12-04T00:00:00
315648;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;73;;;39842;757897.00;1119182.50;2013-12-04T00:00:00
315656;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;74;;;39842;758091.19;1119435.88;2013-12-04T00:00:00
315664;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;75;;;39842;758073.31;1119439.63;2013-12-04T00:00:00
315672;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;76;;;39842;758151.06;1119400.38;2013-12-04T00:00:00
315699;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;78;;;39842;758085.31;1119483.88;2021-06-04T00:00:00
315702;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;79;;;39842;758202.69;1119491.88;2013-12-04T00:00:00
315711;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;80;;;39842;758207.13;1119510.50;2013-12-04T00:00:00
315729;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;81;;;39842;758172.13;1119581.38;2013-12-04T00:00:00
315737;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;82;;;39842;758166.50;1119591.75;2013-12-04T00:00:00
315745;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;83;;;39842;758067.06;1119501.75;2013-12-04T00:00:00
