KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
10136126;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;1;;;69102;582270.02;1200526.08;2013-12-06T00:00:00
10136134;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;2;;;69102;582255.21;1200537.31;2013-12-06T00:00:00
10136142;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;3;;;69102;582246.82;1200544.21;2013-12-06T00:00:00
10136151;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;4;;;69102;582237.55;1200549.75;2013-12-06T00:00:00
10136169;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;5;;;69102;582231.04;1200557.14;2013-12-06T00:00:00
10136177;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;6;;;69102;582224.81;1200561.25;2013-12-06T00:00:00
10136185;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;7;;;69102;582219.27;1200563.02;2013-12-06T00:00:00
10136193;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;8;;;69102;582213.68;1200572.19;2013-12-06T00:00:00
10136215;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;10;;;69102;582200.91;1200583.28;2013-12-06T00:00:00
10136223;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;11;;;69102;582196.35;1200590.22;2013-12-06T00:00:00
10136240;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;13;;;69102;582169.48;1200611.15;2013-12-06T00:00:00
10136258;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;14;;;69102;582153.44;1200629.12;2013-12-06T00:00:00
10136266;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;15;;;69102;582141.19;1200636.93;2013-12-06T00:00:00
10136274;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;16;;;69102;582124.29;1200645.92;2013-12-06T00:00:00
10136282;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;17;;;69102;582116.92;1200650.67;2013-12-06T00:00:00
10136291;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;18;;;69102;582109.91;1200656.07;2013-12-06T00:00:00
10136304;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;19;;;69102;582102.76;1200660.60;2013-12-06T00:00:00
10136321;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;21;;;69102;582087.07;1200667.60;2013-12-06T00:00:00
10136339;584983;VelkÈ BÌlovice;;;;;178675;VelkÈ BÌlovice;64351;Sv·rov;Ë.p.;22;;;69102;582078.76;1200672.21;2013-12-06T00:00:00
