Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
4390032;568198;Staré Tìchanovice;;;;;75426;Jánské Koupele;;;è.p.;75;;;74901;512041.00;1097884.00;2013-12-04T00:00:00
4390041;568198;Staré Tìchanovice;;;;;75426;Jánské Koupele;;;è.p.;82;;;74901;511973.00;1097976.00;2013-12-04T00:00:00
4390059;568198;Staré Tìchanovice;;;;;75426;Jánské Koupele;;;è.p.;83;;;74901;511970.00;1097948.00;2013-12-04T00:00:00
4390067;568198;Staré Tìchanovice;;;;;75426;Jánské Koupele;;;è.p.;84;;;74901;511939.64;1097973.98;2013-12-04T00:00:00
4390075;568198;Staré Tìchanovice;;;;;75426;Jánské Koupele;;;è.p.;85;;;74901;511889.00;1097973.00;2013-12-04T00:00:00
4390083;568198;Staré Tìchanovice;;;;;75426;Jánské Koupele;;;è.p.;86;;;74901;511927.00;1097906.00;2013-12-04T00:00:00
4390091;568198;Staré Tìchanovice;;;;;75426;Jánské Koupele;;;è.p.;88;;;74901;512044.00;1097825.00;2013-12-04T00:00:00
4390105;568198;Staré Tìchanovice;;;;;75426;Jánské Koupele;;;è.p.;89;;;74901;512074.00;1097910.00;2013-12-04T00:00:00
4390148;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;1;;;74901;512672.00;1100160.00;2013-12-04T00:00:00
4390156;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;3;;;74901;512787.00;1100141.00;2013-12-04T00:00:00
4390164;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;4;;;74901;512829.00;1100009.00;2013-12-04T00:00:00
4390181;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;6;;;74901;512881.00;1099955.00;2013-12-04T00:00:00
4390199;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;7;;;74901;512974.00;1099857.00;2013-12-04T00:00:00
4390202;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;8;;;74901;513084.00;1099820.00;2013-12-04T00:00:00
4390211;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;9;;;74901;513167.00;1099797.00;2013-12-04T00:00:00
4390229;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;11;;;74901;513615.01;1099721.56;2013-12-04T00:00:00
4390237;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;12;;;74901;513628.98;1099716.47;2013-12-04T00:00:00
4390245;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;13;;;74901;513665.05;1099627.05;2013-12-04T00:00:00
4390253;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;16;;;74901;513726.52;1099453.62;2013-12-04T00:00:00
4390261;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;17;;;74901;513738.00;1099436.00;2013-12-04T00:00:00
4390270;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;19;;;74901;513523.00;1099606.00;2013-12-04T00:00:00
4390288;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;20;;;74901;513676.00;1099462.00;2013-12-04T00:00:00
4390296;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;21;;;74901;513687.00;1099513.00;2013-12-04T00:00:00
4390300;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;22;;;74901;513653.47;1099494.59;2013-12-04T00:00:00
4390318;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;23;;;74901;513643.11;1099532.39;2013-12-04T00:00:00
4390326;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;24;;;74901;513645.91;1099501.82;2013-12-04T00:00:00
4390334;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;25;;;74901;513458.00;1099574.00;2013-12-04T00:00:00
4390342;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;26;;;74901;513559.46;1099605.04;2013-12-04T00:00:00
4390351;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;27;;;74901;513473.00;1099593.00;2013-12-04T00:00:00
4390369;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;28;;;74901;513439.00;1099558.00;2013-12-04T00:00:00
4390377;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;29;;;74901;513352.00;1099577.00;2013-12-04T00:00:00
4390385;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;30;;;74901;513302.00;1099539.00;2013-12-04T00:00:00
4390393;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;32;;;74901;513176.00;1099576.00;2013-12-04T00:00:00
4390407;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;33;;;74901;513132.00;1099616.00;2013-12-04T00:00:00
4390415;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;34;;;74901;513092.00;1099621.00;2013-12-04T00:00:00
4390423;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;35;;;74901;513167.00;1098290.00;2013-12-04T00:00:00
4390431;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;36;;;74901;513097.12;1099683.49;2013-12-04T00:00:00
4390440;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;37;;;74901;512984.00;1099631.00;2013-12-04T00:00:00
4390458;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;38;;;74901;512878.00;1099788.00;2013-12-04T00:00:00
4390474;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;42;;;74901;512723.00;1099916.00;2013-12-04T00:00:00
4390482;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;43;;;74901;512700.00;1100021.00;2013-12-04T00:00:00
4390491;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;44;;;74901;512665.00;1100089.00;2013-12-04T00:00:00
4390504;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;45;;;74901;513594.00;1098637.00;2013-12-04T00:00:00
4390512;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;46;;;74901;513699.00;1098574.00;2013-12-04T00:00:00
4390521;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;47;;;74901;513517.00;1099655.00;2013-12-04T00:00:00
4390539;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;48;;;74901;512965.00;1099793.00;2013-12-04T00:00:00
4390547;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;49;;;74901;512805.00;1100025.00;2013-12-04T00:00:00
4390555;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;50;;;74901;513008.00;1099770.00;2013-12-04T00:00:00
4390563;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;52;;;74901;513000.00;1099637.00;2013-12-04T00:00:00
4390571;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;54;;;74901;512905.00;1099569.00;2013-12-04T00:00:00
4390580;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;55;;;74901;513239.00;1098078.00;2013-12-04T00:00:00
4390598;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;57;;;74901;512896.00;1099814.00;2013-12-04T00:00:00
4390601;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;58;;;74901;513013.00;1099811.00;2013-12-04T00:00:00
4390610;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;59;;;74901;512928.00;1099814.00;2013-12-04T00:00:00
4390628;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;61;;;74901;513354.67;1099631.99;2013-12-04T00:00:00
4390636;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;64;;;74901;513184.00;1099647.00;2013-12-04T00:00:00
4390644;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;72;;;74901;513270.00;1099588.00;2013-12-04T00:00:00
4390652;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;73;;;74901;512961.00;1099727.00;2013-12-04T00:00:00
4390661;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;74;;;74901;512954.00;1099751.00;2013-12-04T00:00:00
4390679;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;76;;;74901;513040.60;1099665.12;2013-12-04T00:00:00
4390687;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;77;;;74901;513063.00;1099666.00;2013-12-04T00:00:00
4390695;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;81;;;74901;512947.00;1099798.00;2013-12-04T00:00:00
4390709;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;92;;;74901;513884.00;1099169.00;2013-12-04T00:00:00
4390717;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;93;;;74901;513769.12;1099253.05;2013-12-04T00:00:00
4390725;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.p.;95;;;74901;513648.00;1098654.00;2013-12-04T00:00:00
4390733;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.ev.;1;;;74901;514511.00;1099280.00;2013-12-04T00:00:00
4390741;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.ev.;2;;;74901;514477.89;1099286.84;2013-12-04T00:00:00
4390750;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.ev.;3;;;74901;514483.00;1099302.00;2013-12-04T00:00:00
4390768;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.ev.;4;;;74901;514475.00;1099309.00;2013-12-04T00:00:00
4390776;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.ev.;5;;;74901;514459.00;1099323.00;2013-12-04T00:00:00
4390784;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.ev.;63;;;74901;514614.00;1099195.00;2013-12-04T00:00:00
4390792;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.ev.;64;;;74901;514581.00;1099247.00;2013-12-04T00:00:00
4390806;568198;Staré Tìchanovice;;;;;75451;Staré Tìchanovice;;;è.ev.;66;;;74901;514606.00;1099216.00;2013-12-04T00:00:00
