Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
22902686;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;1;;;26203;758782.94;1073282.00;2013-12-04T00:00:00
22902694;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;2;;;26203;758788.13;1073389.75;2013-12-04T00:00:00
22902708;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;3;;;26203;758755.81;1073527.63;2013-12-04T00:00:00
22902716;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;4;;;26203;758854.00;1073856.00;2013-12-04T00:00:00
22902724;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;5;;;26203;758969.13;1073440.25;2013-12-04T00:00:00
22902732;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;6;;;26203;758993.75;1073391.13;2013-12-04T00:00:00
22902741;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;7;;;26203;759131.75;1073395.38;2013-12-04T00:00:00
22902759;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;8;;;26203;759292.25;1073521.13;2013-12-04T00:00:00
22902767;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;9;;;26203;759316.38;1073543.50;2013-12-04T00:00:00
22902775;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;10;;;26203;759379.88;1073497.75;2013-12-04T00:00:00
22902783;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;11;;;26203;759393.81;1073464.13;2013-12-04T00:00:00
22902791;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;12;;;26203;760556.50;1073249.88;2013-12-04T00:00:00
22902805;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;13;;;26203;759078.72;1073342.28;2013-12-04T00:00:00
22902813;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;14;;;26203;759056.25;1073327.38;2013-12-04T00:00:00
22902821;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;15;;;26203;759031.27;1073296.33;2013-12-04T00:00:00
22902830;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;16;;;26203;759011.75;1073341.88;2013-12-04T00:00:00
22902848;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;17;;;26203;758968.94;1073305.38;2013-12-04T00:00:00
22902856;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;18;;;26203;758956.56;1073231.63;2013-12-04T00:00:00
22902864;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;19;;;26203;759519.63;1073507.00;2013-12-04T00:00:00
22902881;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;21;;;26203;758912.50;1073316.88;2013-12-04T00:00:00
22902899;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;22;;;26203;758859.94;1073274.63;2013-12-04T00:00:00
22902902;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;23;;;26203;758845.25;1073298.50;2013-12-04T00:00:00
22902911;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;24;;;26203;759616.38;1073370.75;2013-12-04T00:00:00
22902929;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;25;;;26203;760639.56;1073270.38;2013-12-04T00:00:00
22902937;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;26;;;26203;759340.31;1073405.13;2013-12-04T00:00:00
22902945;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;27;;;26203;758863.06;1073438.88;2013-12-04T00:00:00
22902953;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;28;;;26203;758902.93;1073418.84;2021-07-27T00:00:00
22902961;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;29;;;26203;760585.13;1073400.38;2013-12-04T00:00:00
22902970;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;30;;;26203;759034.25;1073390.00;2013-12-04T00:00:00
22902988;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;31;;;26203;758851.63;1073353.63;2013-12-04T00:00:00
22902996;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;32;;;26203;759346.19;1073483.50;2013-12-04T00:00:00
22903003;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;33;;;26203;759320.79;1073569.40;2019-06-26T00:00:00
22903011;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;34;;;26203;759190.19;1073377.50;2013-12-04T00:00:00
22903020;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;35;;;26203;758713.44;1073502.38;2013-12-04T00:00:00
22903038;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;36;;;26203;759368.56;1073472.50;2013-12-04T00:00:00
22903046;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;37;;;26203;759258.06;1073542.88;2013-12-04T00:00:00
22903054;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;38;;;26203;758926.50;1073275.00;2013-12-04T00:00:00
22903062;540781;Mokrovraty;;;;;98205;Mokrovraty;;;è.p.;39;;;26203;759418.13;1073482.63;2013-12-04T00:00:00
