Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
3051731;529770;Chlum;;;;;51420;Chlum;;;è.p.;1;;;25763;707554.69;1091899.88;2018-01-24T00:00:00
3051749;529770;Chlum;;;;;51420;Chlum;;;è.p.;3;;;25763;707586.81;1091947.75;2013-12-07T00:00:00
3051757;529770;Chlum;;;;;51420;Chlum;;;è.p.;4;;;25763;707607.25;1091964.38;2013-12-07T00:00:00
3051765;529770;Chlum;;;;;51420;Chlum;;;è.p.;5;;;25763;707635.19;1091986.00;2013-12-07T00:00:00
3051773;529770;Chlum;;;;;51420;Chlum;;;è.p.;6;;;25763;707664.81;1092003.00;2013-12-07T00:00:00
3051781;529770;Chlum;;;;;51420;Chlum;;;è.p.;7;;;25763;707670.81;1092031.38;2013-12-07T00:00:00
3051790;529770;Chlum;;;;;51420;Chlum;;;è.p.;8;;;25763;707691.75;1092056.63;2013-12-07T00:00:00
3051803;529770;Chlum;;;;;51420;Chlum;;;è.p.;9;;;25763;707719.06;1092067.25;2013-12-07T00:00:00
3051811;529770;Chlum;;;;;51420;Chlum;;;è.p.;10;;;25763;707858.13;1092094.25;2013-12-07T00:00:00
3051820;529770;Chlum;;;;;51420;Chlum;;;è.p.;11;;;25763;707816.36;1092059.18;2013-12-07T00:00:00
3051838;529770;Chlum;;;;;51420;Chlum;;;è.p.;12;;;25763;707765.31;1092033.00;2013-12-07T00:00:00
3051846;529770;Chlum;;;;;51420;Chlum;;;è.p.;14;;;25763;707767.94;1091993.00;2013-12-07T00:00:00
3051854;529770;Chlum;;;;;51420;Chlum;;;è.p.;15;;;25763;707737.69;1091983.75;2013-12-07T00:00:00
3051862;529770;Chlum;;;;;51420;Chlum;;;è.p.;16;;;25763;707725.38;1091954.13;2013-12-07T00:00:00
3051871;529770;Chlum;;;;;51420;Chlum;;;è.p.;17;;;25763;707705.38;1091927.88;2013-12-07T00:00:00
3051889;529770;Chlum;;;;;51420;Chlum;;;è.p.;19;;;25763;707681.13;1091920.13;2013-12-07T00:00:00
3051897;529770;Chlum;;;;;51420;Chlum;;;è.p.;21;;;25763;707628.19;1091876.88;2013-12-07T00:00:00
3051901;529770;Chlum;;;;;51420;Chlum;;;è.p.;22;;;25763;707640.50;1091851.25;2013-12-07T00:00:00
3051919;529770;Chlum;;;;;51420;Chlum;;;è.p.;23;;;25763;707655.19;1091797.75;2013-12-07T00:00:00
3051927;529770;Chlum;;;;;51420;Chlum;;;è.p.;24;;;25763;707591.63;1091831.00;2013-12-07T00:00:00
3051935;529770;Chlum;;;;;51420;Chlum;;;è.p.;25;;;25763;707547.00;1091862.25;2013-12-07T00:00:00
