Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
1925997;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;46;;;67952;584001.84;1131728.65;2013-12-07T00:00:00
1926004;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;47;;;67952;584348.21;1132146.38;2013-12-07T00:00:00
1926012;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;48;;;67952;583413.20;1132903.09;2013-12-07T00:00:00
1926021;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;49;;;67952;584223.55;1131628.39;2013-12-07T00:00:00
1926039;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;50;;;67952;;;2011-07-01T00:00:00
1926055;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;52;;;67952;584034.14;1131707.42;2013-12-07T00:00:00
1926063;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;53;;;67952;584255.87;1131623.33;2013-12-07T00:00:00
1926071;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;54;;;67952;584255.12;1131611.56;2013-12-07T00:00:00
1926098;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;56;;;67952;584220.55;1131499.82;2013-12-07T00:00:00
1926101;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;57;;;67952;584322.87;1131623.78;2013-12-07T00:00:00
1926128;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;59;;;67952;584205.23;1131524.11;2013-12-07T00:00:00
1926136;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;60;;;67952;584196.86;1131496.95;2013-12-07T00:00:00
1926144;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;61;;;67952;584065.77;1131630.12;2013-12-07T00:00:00
1926161;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;63;;;67952;583917.22;1131713.85;2013-12-07T00:00:00
1926179;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;64;;;67952;583898.71;1131713.70;2013-12-07T00:00:00
1926187;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;65;;;67952;583881.47;1131712.81;2013-12-07T00:00:00
1926195;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;66;;;67952;583873.77;1131735.36;2013-12-07T00:00:00
1926209;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;67;;;67952;583968.75;1131242.29;2013-12-07T00:00:00
1926217;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;68;;;67952;583900.44;1131734.64;2013-12-07T00:00:00
1926225;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;69;;;67952;583877.34;1131743.59;2013-12-07T00:00:00
1926233;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;70;;;67952;583841.08;1131745.17;2013-12-07T00:00:00
1926241;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;71;;;67952;583858.14;1131736.41;2013-12-07T00:00:00
1926250;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;72;;;67952;583851.35;1131757.68;2013-12-07T00:00:00
1926268;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;73;;;67952;583958.73;1131718.55;2019-12-03T00:00:00
1926276;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;74;;;67952;583862.57;1131749.00;2013-12-07T00:00:00
1926284;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;75;;;67952;584208.60;1131605.21;2013-12-07T00:00:00
1926292;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;76;;;67952;584383.34;1131785.04;2013-12-07T00:00:00
1926306;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;77;;;67952;584269.46;1131650.54;2013-12-07T00:00:00
1926314;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;78;;;67952;583838.83;1131770.91;2013-12-07T00:00:00
1926322;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;79;;;67952;584286.67;1131604.24;2013-12-07T00:00:00
1926331;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;80;;;67952;584302.27;1131637.37;2013-12-07T00:00:00
1926349;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;81;;;67952;584286.82;1131639.94;2013-12-07T00:00:00
1926357;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;82;;;67952;584241.90;1131518.80;2013-12-07T00:00:00
1926365;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;83;;;67952;584283.26;1131568.28;2013-12-07T00:00:00
1926373;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;84;;;67952;584195.77;1131468.61;2013-12-07T00:00:00
1926381;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;85;;;67952;584277.07;1131672.52;2013-12-07T00:00:00
1926411;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;88;;;67952;583859.76;1131787.07;2013-12-07T00:00:00
1926420;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;89;;;67952;583871.48;1131799.47;2013-12-07T00:00:00
1926438;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;90;;;67952;583868.20;1131710.46;2013-12-07T00:00:00
1926446;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;91;;;67952;584049.46;1131635.43;2013-12-07T00:00:00
1926454;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;92;;;67952;584351.02;1131617.40;2013-12-07T00:00:00
1926462;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;93;;;67952;584339.58;1131662.61;2019-11-14T00:00:00
1926471;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;94;;;67952;584269.70;1131515.80;2013-12-07T00:00:00
1926489;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;95;;;67952;583818.20;1131705.73;2013-12-07T00:00:00
1926497;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;96;;;67952;583799.75;1131737.68;2013-12-07T00:00:00
1926501;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;97;;;67952;584014.45;1131195.42;2013-12-07T00:00:00
1926519;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;98;;;67952;584233.36;1131665.46;2021-05-24T00:00:00
1926535;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;100;;;67952;584267.35;1131620.21;2013-12-07T00:00:00
1926543;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;101;;;67952;584252.92;1131631.81;2013-12-07T00:00:00
1926560;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;103;;;67952;583816.69;1131733.57;2013-12-07T00:00:00
1926586;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;105;;;67952;583802.58;1131760.45;2013-12-07T00:00:00
1926594;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;106;;;67952;584010.43;1131594.05;2013-12-07T00:00:00
1926608;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;107;;;67952;584006.19;1131599.27;2022-02-22T00:00:00
1926616;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;108;;;67952;583973.06;1131653.63;2013-12-07T00:00:00
1926624;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;109;;;67952;584189.32;1131678.29;2013-12-07T00:00:00
1926641;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;111;;;67952;584256.56;1131543.87;2013-12-07T00:00:00
1926659;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;112;;;67952;583835.06;1131761.59;2013-12-07T00:00:00
1926667;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;113;;;67952;584019.69;1131631.08;2013-12-07T00:00:00
1926675;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;114;;;67952;584039.11;1131630.19;2013-12-07T00:00:00
1926683;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;115;;;67952;584045.62;1131645.10;2013-12-07T00:00:00
1926691;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;116;;;67952;583929.44;1131239.45;2013-12-07T00:00:00
1926705;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;117;;;67952;584119.46;1131688.40;2013-12-07T00:00:00
1926713;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;118;;;67952;584163.80;1131745.57;2013-12-07T00:00:00
1926721;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;119;;;67952;584264.30;1131590.10;2013-12-07T00:00:00
1926730;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;120;;;67952;584325.79;1131632.72;2013-12-07T00:00:00
1926748;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;121;;;67952;583768.43;1131728.63;2013-12-07T00:00:00
1926756;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;122;;;67952;583788.79;1131792.11;2013-12-07T00:00:00
1926764;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;123;;;67952;583754.68;1131727.22;2013-12-07T00:00:00
1926772;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;124;;;67952;583781.52;1131731.14;2013-12-07T00:00:00
