Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
4935926;592706;Traplice;;;;;168025;Traplice;;;и.p.;1;;;68704;538646.48;1174161.94;2013-12-01T00:00:00
4935934;592706;Traplice;;;;;168025;Traplice;;;и.p.;2;;;68704;538696.28;1174306.20;2013-12-01T00:00:00
4935942;592706;Traplice;;;;;168025;Traplice;;;и.p.;3;;;68704;538619.57;1174274.42;2013-12-01T00:00:00
4935969;592706;Traplice;;;;;168025;Traplice;;;и.p.;5;;;68704;538899.86;1174136.24;2013-12-01T00:00:00
4935977;592706;Traplice;;;;;168025;Traplice;;;и.p.;6;;;68704;538944.29;1174160.41;2017-03-16T00:00:00
4935985;592706;Traplice;;;;;168025;Traplice;;;и.p.;7;;;68704;538662.21;1174286.43;2013-12-01T00:00:00
4935993;592706;Traplice;;;;;168025;Traplice;;;и.p.;8;;;68704;538919.82;1174088.26;2013-12-01T00:00:00
4936001;592706;Traplice;;;;;168025;Traplice;;;и.p.;9;;;68704;538684.20;1174261.34;2013-12-01T00:00:00
4936027;592706;Traplice;;;;;168025;Traplice;;;и.p.;11;;;68704;539120.22;1174034.35;2013-12-01T00:00:00
4936035;592706;Traplice;;;;;168025;Traplice;;;и.p.;13;;;68704;538722.01;1174325.62;2013-12-01T00:00:00
4936043;592706;Traplice;;;;;168025;Traplice;;;и.p.;14;;;68704;538933.32;1174234.68;2013-12-01T00:00:00
4936051;592706;Traplice;;;;;168025;Traplice;;;и.p.;15;;;68704;538716.14;1174204.02;2013-12-01T00:00:00
4936060;592706;Traplice;;;;;168025;Traplice;;;и.p.;16;;;68704;538742.39;1174204.43;2013-12-01T00:00:00
4936078;592706;Traplice;;;;;168025;Traplice;;;и.p.;17;;;68704;538950.04;1174146.80;2013-12-01T00:00:00
4936086;592706;Traplice;;;;;168025;Traplice;;;и.p.;18;;;68704;538694.36;1174154.49;2013-12-01T00:00:00
4936094;592706;Traplice;;;;;168025;Traplice;;;и.p.;19;;;68704;538823.92;1174218.41;2013-12-01T00:00:00
4936108;592706;Traplice;;;;;168025;Traplice;;;и.p.;20;;;68704;538724.41;1174125.69;2013-12-01T00:00:00
4936116;592706;Traplice;;;;;168025;Traplice;;;и.p.;21;;;68704;538997.39;1174171.18;2013-12-01T00:00:00
4936124;592706;Traplice;;;;;168025;Traplice;;;и.p.;22;;;68704;538829.10;1174182.07;2013-12-01T00:00:00
4936132;592706;Traplice;;;;;168025;Traplice;;;и.p.;23;;;68704;538820.47;1174156.23;2013-12-01T00:00:00
4936141;592706;Traplice;;;;;168025;Traplice;;;и.p.;27;;;68704;538866.09;1174079.77;2013-12-01T00:00:00
4936159;592706;Traplice;;;;;168025;Traplice;;;и.p.;28;;;68704;538947.84;1174101.50;2013-12-01T00:00:00
4936167;592706;Traplice;;;;;168025;Traplice;;;и.p.;29;;;68704;538937.74;1174080.59;2013-12-01T00:00:00
4936175;592706;Traplice;;;;;168025;Traplice;;;и.p.;30;;;68704;538954.05;1174110.96;2013-12-01T00:00:00
4936183;592706;Traplice;;;;;168025;Traplice;;;и.p.;31;;;68704;538928.33;1174104.81;2013-12-01T00:00:00
4936191;592706;Traplice;;;;;168025;Traplice;;;и.p.;32;;;68704;538939.35;1174126.62;2013-12-01T00:00:00
4936205;592706;Traplice;;;;;168025;Traplice;;;и.p.;33;;;68704;538967.59;1174110.35;2013-12-01T00:00:00
4936213;592706;Traplice;;;;;168025;Traplice;;;и.p.;34;;;68704;539024.68;1174100.23;2013-12-01T00:00:00
4936221;592706;Traplice;;;;;168025;Traplice;;;и.p.;35;;;68704;538964.85;1174092.12;2013-12-01T00:00:00
4936230;592706;Traplice;;;;;168025;Traplice;;;и.p.;36;;;68704;538979.87;1174111.20;2013-12-01T00:00:00
4936248;592706;Traplice;;;;;168025;Traplice;;;и.p.;37;;;68704;539005.98;1174109.87;2013-12-01T00:00:00
4936256;592706;Traplice;;;;;168025;Traplice;;;и.p.;38;;;68704;539004.55;1174090.57;2013-12-01T00:00:00
4936264;592706;Traplice;;;;;168025;Traplice;;;и.p.;39;;;68704;539275.11;1173940.62;2013-12-01T00:00:00
4936272;592706;Traplice;;;;;168025;Traplice;;;и.p.;40;;;68704;538949.33;1174192.04;2013-12-01T00:00:00
4936299;592706;Traplice;;;;;168025;Traplice;;;и.p.;42;;;68704;538969.79;1174079.76;2013-12-01T00:00:00
4936302;592706;Traplice;;;;;168025;Traplice;;;и.p.;43;;;68704;538962.69;1174067.42;2013-12-01T00:00:00
4936311;592706;Traplice;;;;;168025;Traplice;;;и.p.;44;;;68704;538961.45;1174077.38;2013-12-01T00:00:00
4936329;592706;Traplice;;;;;168025;Traplice;;;и.p.;45;;;68704;538796.32;1174222.56;2013-12-01T00:00:00
4936337;592706;Traplice;;;;;168025;Traplice;;;и.p.;46;;;68704;538926.67;1174058.75;2013-12-01T00:00:00
4936345;592706;Traplice;;;;;168025;Traplice;;;и.p.;47;;;68704;538956.84;1174044.24;2013-12-01T00:00:00
4936361;592706;Traplice;;;;;168025;Traplice;;;и.p.;49;;;68704;538981.51;1174064.53;2013-12-01T00:00:00
4936370;592706;Traplice;;;;;168025;Traplice;;;и.p.;50;;;68704;539004.32;1174079.28;2013-12-01T00:00:00
4936388;592706;Traplice;;;;;168025;Traplice;;;и.p.;51;;;68704;539047.78;1173991.33;2013-12-01T00:00:00
4936396;592706;Traplice;;;;;168025;Traplice;;;и.p.;52;;;68704;538988.55;1174060.41;2013-12-01T00:00:00
4936400;592706;Traplice;;;;;168025;Traplice;;;и.p.;53;;;68704;538966.59;1174012.33;2013-12-01T00:00:00
4936434;592706;Traplice;;;;;168025;Traplice;;;и.p.;56;;;68704;538905.96;1173992.05;2013-12-01T00:00:00
4936442;592706;Traplice;;;;;168025;Traplice;;;и.p.;57;;;68704;538931.64;1173947.58;2013-12-01T00:00:00
4936451;592706;Traplice;;;;;168025;Traplice;;;и.p.;58;;;68704;538881.99;1173968.17;2013-12-01T00:00:00
