Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
11539381;531367;Adamov;;;;;171476;Adamov;;;è.p.;1;;;28601;676002.13;1077518.26;2013-12-07T00:00:00
11539402;531367;Adamov;;;;;171476;Adamov;;;è.p.;3;;;28601;675968.96;1077532.75;2013-12-07T00:00:00
11539411;531367;Adamov;;;;;171476;Adamov;;;è.p.;4;;;28601;675947.86;1077548.56;2013-12-07T00:00:00
11539429;531367;Adamov;;;;;171476;Adamov;;;è.p.;5;;;28601;675946.50;1077560.25;2013-12-07T00:00:00
11539437;531367;Adamov;;;;;171476;Adamov;;;è.p.;6;;;28601;675938.88;1077574.63;2013-12-07T00:00:00
11539445;531367;Adamov;;;;;171476;Adamov;;;è.p.;7;;;28601;675918.38;1077589.69;2013-12-07T00:00:00
11539453;531367;Adamov;;;;;171476;Adamov;;;è.p.;8;;;28601;675906.49;1077607.39;2013-12-07T00:00:00
11539461;531367;Adamov;;;;;171476;Adamov;;;è.p.;9;;;28601;675875.06;1077596.34;2013-12-07T00:00:00
11539470;531367;Adamov;;;;;171476;Adamov;;;è.p.;10;;;28601;675868.44;1077610.13;2013-12-07T00:00:00
11539488;531367;Adamov;;;;;171476;Adamov;;;è.p.;11;;;28601;675889.84;1077595.18;2019-11-20T00:00:00
11539496;531367;Adamov;;;;;171476;Adamov;;;è.p.;12;;;28601;675850.44;1077643.38;2013-12-07T00:00:00
11539500;531367;Adamov;;;;;171476;Adamov;;;è.p.;13;;;28601;675983.87;1077519.21;2013-12-07T00:00:00
11539518;531367;Adamov;;;;;171476;Adamov;;;è.p.;14;;;28601;675987.47;1077501.77;2013-12-07T00:00:00
11539526;531367;Adamov;;;;;171476;Adamov;;;è.p.;15;;;28601;675955.85;1077497.93;2013-12-07T00:00:00
11539534;531367;Adamov;;;;;171476;Adamov;;;è.p.;16;;;28601;675963.94;1077594.68;2013-12-07T00:00:00
11539542;531367;Adamov;;;;;171476;Adamov;;;è.p.;17;;;28601;675941.07;1077471.73;2013-12-07T00:00:00
11539551;531367;Adamov;;;;;171476;Adamov;;;è.p.;18;;;28601;675942.07;1077458.73;2013-12-07T00:00:00
11539569;531367;Adamov;;;;;171476;Adamov;;;è.p.;19;;;28601;675930.81;1077416.88;2013-12-07T00:00:00
11539577;531367;Adamov;;;;;171476;Adamov;;;è.p.;20;;;28601;675930.65;1077621.02;2013-12-07T00:00:00
11539593;531367;Adamov;;;;;171476;Adamov;;;è.p.;22;;;28601;675897.74;1077459.24;2013-12-07T00:00:00
11539607;531367;Adamov;;;;;171476;Adamov;;;è.p.;23;;;28601;675878.69;1077462.50;2013-12-07T00:00:00
