Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
17519888;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;1;;;50703;672009.01;1030096.80;2013-12-05T00:00:00
17519896;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;2;;;50703;671981.67;1030044.11;2013-12-05T00:00:00
17519900;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;3;;;50703;671959.29;1029997.43;2013-12-05T00:00:00
17519918;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;4;;;50703;672002.00;1030066.00;2013-12-05T00:00:00
17519926;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;5;;;50703;671885.10;1029713.08;2013-12-05T00:00:00
17519934;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;6;;;50703;671925.99;1029873.21;2013-12-05T00:00:00
17519942;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;7;;;50703;671883.20;1029822.40;2013-12-05T00:00:00
17519951;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;8;;;50703;671850.65;1029774.16;2013-12-05T00:00:00
17519969;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;9;;;50703;671822.56;1029767.83;2013-12-05T00:00:00
17519977;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;10;;;50703;671768.52;1029787.15;2013-12-05T00:00:00
17519985;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;11;;;50703;672146.38;1029673.77;2013-12-05T00:00:00
17519993;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;12;;;50703;671779.86;1029711.98;2013-12-05T00:00:00
17520002;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;13;;;50703;671738.38;1029660.78;2013-12-05T00:00:00
17520011;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;14;;;50703;671713.41;1029633.56;2013-12-05T00:00:00
17520029;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;15;;;50703;671735.78;1029644.69;2013-12-05T00:00:00
17520037;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;16;;;50703;671658.95;1029602.19;2013-12-05T00:00:00
17520045;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;17;;;50703;671706.01;1029578.17;2013-12-05T00:00:00
17520053;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;18;;;50703;671713.64;1029546.89;2013-12-05T00:00:00
17520061;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;19;;;50703;671766.80;1029552.67;2013-12-05T00:00:00
17520070;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;20;;;50703;671791.91;1029547.82;2013-12-05T00:00:00
17520088;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;21;;;50703;671740.80;1029597.91;2013-12-05T00:00:00
17520096;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;22;;;50703;671794.89;1029606.66;2013-12-05T00:00:00
17520100;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;23;;;50703;671798.47;1029652.27;2013-12-05T00:00:00
17520118;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;24;;;50703;671830.28;1029668.09;2013-12-05T00:00:00
17520126;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;25;;;50703;671812.79;1029711.65;2013-12-05T00:00:00
17520134;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;26;;;50703;671896.84;1029771.81;2013-12-05T00:00:00
17520142;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;27;;;50703;671897.77;1029763.24;2013-12-05T00:00:00
17520151;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;29;;;50703;671893.72;1029840.21;2013-12-05T00:00:00
17520169;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;30;;;50703;671931.01;1029729.15;2013-12-05T00:00:00
17520177;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;31;;;50703;671932.66;1029764.08;2013-12-05T00:00:00
17520185;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;32;;;50703;672055.40;1030214.95;2013-12-05T00:00:00
17520207;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;34;;;50703;672122.20;1030194.28;2013-12-05T00:00:00
17520215;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;35;;;50703;671951.63;1029786.42;2013-12-05T00:00:00
17520223;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;36;;;50703;671945.31;1029809.32;2013-12-05T00:00:00
17520231;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;37;;;50703;671929.53;1029887.91;2013-12-05T00:00:00
17520240;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;38;;;50703;671940.66;1029841.35;2013-12-05T00:00:00
17520258;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;39;;;50703;671987.54;1029850.85;2013-12-05T00:00:00
17520266;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;40;;;50703;672029.31;1029845.43;2013-12-05T00:00:00
17520274;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;41;;;50703;672002.97;1029977.29;2013-12-05T00:00:00
17520282;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;42;;;50703;672015.48;1030014.09;2013-12-05T00:00:00
17520304;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;45;;;50703;672061.94;1030085.93;2013-12-05T00:00:00
17520312;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;48;;;50703;672171.20;1030017.73;2013-12-05T00:00:00
17520321;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;49;;;50703;672172.32;1030073.97;2013-12-05T00:00:00
17520339;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;50;;;50703;672036.57;1030391.70;2013-12-05T00:00:00
17520347;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;51;;;50703;671789.91;1029745.63;2013-12-05T00:00:00
17520355;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;52;;;50703;671958.14;1029869.84;2013-12-05T00:00:00
17520363;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;53;;;50703;672002.36;1029949.77;2013-12-05T00:00:00
17520371;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;54;;;50703;672199.11;1030038.22;2013-12-05T00:00:00
17520380;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;55;;;50703;671890.66;1029699.03;2013-12-05T00:00:00
17520398;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;56;;;50703;672183.78;1030127.53;2013-12-05T00:00:00
17520410;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;58;;;50703;672007.31;1030261.94;2013-12-05T00:00:00
17520428;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;59;;;50703;672183.22;1030113.56;2013-12-05T00:00:00
17520436;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;60;;;50703;671956.13;1029926.27;2013-12-05T00:00:00
17520444;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;61;;;50703;672005.24;1029923.33;2013-12-05T00:00:00
17520452;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;62;;;50703;672002.24;1030321.04;2013-12-05T00:00:00
17520479;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;64;;;50703;671961.52;1029744.42;2013-12-05T00:00:00
17520487;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;65;;;50703;672083.50;1030201.73;2013-12-05T00:00:00
17520495;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;66;;;50703;671985.59;1029694.25;2013-12-05T00:00:00
17520509;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;67;;;50703;671990.80;1030388.91;2013-12-05T00:00:00
17520517;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;68;;;50703;672106.94;1030199.68;2013-12-05T00:00:00
17520525;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;69;;;50703;672136.34;1030195.21;2013-12-05T00:00:00
17520533;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;70;;;50703;672137.27;1030168.21;2013-12-05T00:00:00
17520541;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;71;;;50703;672155.87;1030191.86;2013-12-05T00:00:00
17520550;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;72;;;50703;671944.22;1029732.88;2013-12-05T00:00:00
17520568;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;73;;;50703;671766.78;1029675.87;2013-12-05T00:00:00
17520576;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;75;;;50703;671989.06;1029902.67;2013-12-05T00:00:00
17520584;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;76;;;50703;672011.49;1030289.61;2013-12-05T00:00:00
17520592;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;77;;;50703;671984.29;1029653.66;2013-12-05T00:00:00
17520606;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;78;;;50703;672038.06;1029705.80;2013-12-05T00:00:00
17520614;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;81;;;50703;671891.76;1029651.33;2013-12-05T00:00:00
17520622;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;82;;;50703;672115.39;1030072.34;2013-12-05T00:00:00
17520631;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;83;;;50703;672148.06;1029634.67;2013-12-05T00:00:00
17520649;572144;Sekeøice;;;;;197688;Sekeøice;;;è.p.;84;;;50703;672085.17;1029693.51;2013-12-05T00:00:00
