Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
2071053;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;1;;;27731;729553.69;1013138.63;2013-12-04T00:00:00
2071061;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;2;;;27731;729515.56;1013051.50;2013-12-04T00:00:00
2071070;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;3;;;27731;729511.88;1013022.44;2013-12-04T00:00:00
2071096;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;5;;;27731;729515.00;1012955.00;2013-12-04T00:00:00
2071118;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;7;;;27731;729473.50;1012900.88;2013-12-04T00:00:00
2071126;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;8;;;27731;729497.94;1012861.00;2013-12-04T00:00:00
2071134;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;9;;;27731;729472.94;1012825.13;2013-12-04T00:00:00
2071142;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;10;;;27731;729283.63;1012825.44;2013-12-04T00:00:00
2071151;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;11;;;27731;729405.81;1012789.88;2013-12-04T00:00:00
2071169;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;12;;;27731;729828.25;1011729.19;2013-12-04T00:00:00
2071177;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;13;;;27731;729294.13;1012901.50;2013-12-04T00:00:00
2071185;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;14;;;27731;729576.50;1012745.00;2013-12-04T00:00:00
2071193;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;15;;;27731;729639.00;1012725.25;2013-12-04T00:00:00
2071207;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;16;;;27731;729681.69;1012735.44;2013-12-04T00:00:00
2071215;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;17;;;27731;729668.06;1012850.50;2013-12-04T00:00:00
2071223;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;18;;;27731;729585.19;1012784.63;2013-12-04T00:00:00
2071231;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;19;;;27731;729526.75;1012834.13;2013-12-04T00:00:00
2071240;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;20;;;27731;729547.44;1012859.75;2013-12-04T00:00:00
2071258;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;21;;;27731;729582.69;1012865.00;2013-12-04T00:00:00
2071266;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;22;;;27731;729575.56;1012922.56;2013-12-04T00:00:00
2071274;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;23;;;27731;729557.06;1012964.00;2013-12-04T00:00:00
2071282;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;24;;;27731;729605.00;1013017.50;2013-12-04T00:00:00
2071291;531898;Lhotka;;;;;81329;Lhotka;;;è.p.;25;;;27731;729569.38;1013034.19;2013-12-04T00:00:00
