KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
17262631;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;1;;;26401;746926.69;1092125.13;2013-12-01T00:00:00
17262640;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;2;;;26401;747026.25;1092107.25;2013-12-01T00:00:00
17262658;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;3;;;26401;747087.94;1092132.13;2013-12-01T00:00:00
17262666;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;4;;;26401;747079.50;1092199.38;2013-12-01T00:00:00
17262674;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;5;;;26401;746990.88;1092255.13;2013-12-01T00:00:00
17262682;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;7;;;26401;747078.00;1092238.13;2013-12-01T00:00:00
17262691;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;8;;;26401;746969.75;1092169.30;2022-03-07T00:00:00
17262704;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;9;;;26401;746981.44;1092108.75;2013-12-01T00:00:00
17262712;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;10;;;26401;747069.00;1092121.63;2013-12-01T00:00:00
17262721;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;11;;;26401;746922.27;1092243.04;2013-12-01T00:00:00
17262739;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;12;;;26401;746916.69;1092199.88;2013-12-01T00:00:00
17262747;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;13;;;26401;746942.13;1092226.75;2013-12-01T00:00:00
17262755;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;14;;;26401;746872.38;1092276.50;2013-12-01T00:00:00
17262763;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;15;;;26401;746876.38;1092269.00;2013-12-01T00:00:00
17262771;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;16;;;26401;746887.81;1092269.50;2013-12-01T00:00:00
17262780;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;17;;;26401;746891.81;1092259.50;2013-12-01T00:00:00
17262798;540498;Kosova Hora;;;;;70009;Janov;;;Ë.p.;18;;;26401;746793.10;1092527.89;2019-03-26T00:00:00
17262810;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;1;;;26291;745673.63;1091301.50;2013-12-01T00:00:00
17262828;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;2;;;26291;746015.50;1090785.63;2013-12-01T00:00:00
17262836;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;3;;;26291;745838.50;1091254.00;2013-12-01T00:00:00
17262844;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;4;;;26291;745825.75;1091285.25;2013-12-01T00:00:00
17262852;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;5;;;26291;745814.31;1091297.25;2013-12-01T00:00:00
17262861;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;6;;;26291;745793.00;1091307.50;2013-12-01T00:00:00
17262879;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;7;;;26291;745773.25;1091312.25;2013-12-01T00:00:00
17262887;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;8;;;26291;745766.25;1091328.75;2013-12-01T00:00:00
17262895;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;9;;;26291;745764.31;1091344.38;2013-12-01T00:00:00
17262909;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;10;;;26291;745759.00;1091357.00;2013-12-01T00:00:00
17262917;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;11;;;26291;745780.00;1091363.00;2013-12-01T00:00:00
17262925;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;12;;;26291;745790.88;1091407.25;2013-12-01T00:00:00
17262933;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;13;;;26291;745768.69;1091414.25;2013-12-01T00:00:00
17262941;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;14;;;26291;745713.44;1091430.88;2013-12-01T00:00:00
17262950;540498;Kosova Hora;;;;;70017;Kosova Hora;;;Ë.p.;15;;;26291;745699.88;1091405.00;2013-12-01T00:00:00
